,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
919,1993.08.15.a,1993,Unprovoked,usa,Bull shark,15-Aug-1993,Aug,n,F,Bull,19.0
920,1993.08.12,1993,Unprovoked,usa,5.5 m to 6 m [18' to 20']  white shark,12-Aug-1993,Aug,n,M,White,39.0
921,1993.07.30,1993,Unprovoked,south africa,4 m [13'] white shark,30-Jul-1993,Jul,n,M,White,28.0
922,1993.07.07,1993,Unprovoked,usa,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",07-Jul-1993,Jul,n,F,Unspecified,12.0
923,1993.06.10,1993,Unprovoked,usa,Thought to involve a tiger shark,10-Jun-1993,Jun,n,M,Tiger,22.0
924,1993.06.09,1993,Unprovoked,australia,Remains recovered from 5.5 m [18'] white shark,09-Jun-1993,Jun,y,M,White,31.0
925,1993.06.05,1993,Unprovoked,australia,5 m [16.5'] white shark,05-Jun-1993,Jun,y,F,White,34.0
926,1993.06.00,1993,Unprovoked,usa,6' shark,Jun-1993,Jun,n,F,Unspecified,60.0
927,1993.03.14,1993,Unprovoked,usa,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",14-Mar-1993,Mar,n,M,Tiger,35.0
928,1993.03.12,1993,Unprovoked,usa,White shark,12-Mar-1993,Mar,n,M,White,55.0
929,1993.02.04,1993,Provoked,australia,"Bronze whaler shark, 1.5 m ",04-Feb 1993,Feb,n,M,Unspecified,25.0
930,1993.01.05,1993,Unprovoked,australia,1.5 m shark,05-Jan-1993,Jan,n,M,Unspecified,21.0
931,1993.01.02,1993,Unprovoked,usa,6 m [20'] white shark,02-Jan-1993,Jan,n,M,White,29.0
932,1992.12.28,1992,Unprovoked,usa,"Tiger shark, 2.4 m [8']",28-Dec-1992,Dec,n,M,Tiger,10.0
933,1992.12.23,1992,Unprovoked,usa,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",23-Dec-1992,Dec,n,M,Tiger,30.0
934,1992.11.29,1992,Unprovoked,usa,"Mako shark, 1.8 m [6']  ",29-Nov-1992,Nov,n,M,Unspecified,31.0
935,1992.11.25.a,1992,Unprovoked,usa,6' to 7' blacktip shark,25-Nov-1992,Nov,n,M,Unspecified,19.0
936,1992.11.14,1992,Boating,usa,5 m to 6 m white shark,14-Nov-1992,Nov,n,M,White,46.0
937,1992.11.11,1992,Unprovoked,usa,Unidentified shark,11-Nov-1992,Nov,n,M,Unspecified,40.0
938,1992.11.05.a,1992,Unprovoked,usa,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",05-Nov-1992,Nov,y,M,Tiger,18.0
939,1992.10.29,1992,Unprovoked,usa,2.5 m [8.25'] white shark,29-Oct-1992,Oct,n,M,White,40.0
940,1992.10.22,1992,Unprovoked,usa,"Tiger shark, 4.3 m [14'] ",22-Oct-1992,Oct,n,M,Tiger,28.0
941,1992.10.01,1992,Unprovoked,australia,4.2 m white shark,01-Oct-1992,Oct,y,M,White,28.0
942,1992.09.13,1992,Unprovoked,usa,4 m to 5 m [13' to 16.5']  white shark ,13-Sep-1992,Sep,n,M,White,20.0
943,1992.08.25,1992,Unprovoked,australia,4 m white shark,25-Aug-1992,Aug,n,M,White,17.0
944,1992.08.18,1992,Unprovoked,usa,5.5 m to 6 m [18' to 20'] white shark,18-Aug-1992,Aug,n,M,White,22.0
945,1992.07.21,1992,Unprovoked,usa,"""a small shark""",21-Jul-1992,Jul,n,F,Unspecified,42.0
946,1992.06.28.a,1992,Unprovoked,reunion,Bull shark or lemon shark,28-Jun-1992,Jun,y,M,Lemon,16.0
947,1992.04.09,1992,Unprovoked,south africa,>2 m shark,09-Apr-1992,Apr,n,M,Unspecified,35.0
948,1992.03.28,1992,Unprovoked,usa,Tiger shark,28-Mar-1992,Mar,n,F,Tiger,36.0
949,1992.03.08.c,1992,Unprovoked,japan,"5 m [16.5'] white shark, identification by K. Nakaya",08-Mar-1992,Mar,y,M,White,41.0
950,1992.03.08.a,1992,Unprovoked,usa,Said to involve a 6 m to 7 m [20' to 23'] white shark,08-Mar-1992,Mar,n,M,White,21.0
951,1992.02.09,1992,Invalid,australia,Questionable incident,09-Feb-1992,Feb,Unknown,M,Unspecified,19.0
952,1992.01.29.a,1992,Unprovoked,australia,"Bronze whaler shark, 2.3 m [7.5'] ",29-Jan-1992,Jan,n,M,Unspecified,19.0
953,1992.01.23,1992,Unprovoked,south africa,"Zambesi shark, 1.7 m [5.5'] ",23-Jan-1992,Jan,n,M,Unspecified,19.0
954,1992.01.08,1992,Unprovoked,south africa,Possibly a 1.5 m [5'] blacktip shark,08-Jan-1992,Jan,n,M,Unspecified,36.0
955,1991.12.04,1991,Unprovoked,usa,6 m [20'] white shark,04-Dec-1991,Dec,n,M,White,25.0
956,1991.11.26.b,1991,Unprovoked,usa,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",26-Nov-1991,Nov,y,F,Tiger,41.0
957,1991.10.12,1991,Unprovoked,usa,1.8 m [6'] shark,12-Oct-1991,Oct,n,M,Unspecified,21.0
958,1991.10.05,1991,Unprovoked,usa,5 m to 6 m [16.5' to 20'] white shark,05-Oct-1991,Oct,n,M,White,32.0
959,1991.09.08,1991,Unprovoked,australia,4 m [13'] white shark,08-Sep-1991,Sep,y,M,White,19.0
960,1991.08.30,1991,Provoked,australia,"3 m [10'], 270- kg [595-lb] shark",30-Aug-1991,Aug,n,M,Unspecified,36.0
961,1991.08.26,1991,Unprovoked,usa,sand shark,26-Aug-1991,Aug,n,M,Unspecified,23.0
962,1991.08.12,1991,Unprovoked,usa,3' shark,12-Aug-1991,Aug,n,F,Unspecified,10.0
963,1991.07.30,1991,Boating,italy,4 m [13'] white shark,30-Jul-1991,Jul,n,F,White,40.0
964,1991.07.01.b,1991,Unprovoked,reunion,"Tiger shark, 3 to 4 m [10' to 13'] ",01-Jul-1991,Jul,n,M,Tiger,30.0
965,1991.07.01.a,1991,Unprovoked,usa,5 m [16.5'] white shark,01-Jul-1991,Jul,n,M,White,32.0
966,1991.06.07.b,1991,Unprovoked,usa,2.7 m [9'] bull or lemon shark,07-Jun-1991,Jun,n,M,Lemon,31.0
967,1991.06.07.a,1991,Unprovoked,hong kong,"Tiger shark, >3 m [10']",07-Jun-1991,Jun,y,F,Tiger,65.0
968,1991.05.26,1991,Unprovoked,usa,2.4 m [8'] shark,26-May-1991,May,n,M,Unspecified,23.0
969,1991.04.16.a,1991,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,16-Apr-1991,Apr,n,M,Unspecified,22.0
970,1991.02.24,1991,Unprovoked,usa,5.5 m [18'] white shark,24-Feb-1991,Feb,n,M,White,38.0
971,1991.02.12,1991,Unprovoked,south africa,5.5 m [18'] white shark,12-Feb-1991,Feb,n,M,White,20.0
972,1990.11.01,1990,Unprovoked,usa,5' shark,01-Nov-1990,Nov,n,M,Unspecified,24.0
973,1990.10.30.b,1990,Unprovoked,usa,1.8 m [6'] shark ,30-Oct-1990,Oct,n,M,Unspecified,50.0
974,1990.10.20,1990,Unprovoked,usa,4' spinner shark,20-Oct-1990,Oct,n,M,Unspecified,25.0
975,1990.10.15,1990,Unprovoked,usa,"Tiger shark, 3.7 m [12'] ",15-Oct-1990,Oct,n,M,Tiger,43.0
976,1990.10.12,1990,Unprovoked,usa,1.8 m to 2.4 m [6' to 8'] shark,12-Oct-1990,Oct,n,M,Unspecified,19.0
977,1990.09.15,1990,Unprovoked,south africa,5 m  [16.5'] white shark,15-Sep-1990,Sep,n,M,White,26.0
978,1990.09.08,1990,Unprovoked,usa,White shark,08-Sep-1990,Sep,n,M,White,49.0
979,1990.09.05,1990,Boating,usa,2.5 m to 3 m [8.25' to 10']  white shark,05-Sep-1990,Sep,n,M,White,44.0
980,1990.08.28,1990,Unprovoked,usa,5 m to 6 m [16.5' to 20'] white shark,28-Aug-1990,Aug,n,M,White,22.0
981,1990.06.24,1990,Unprovoked,south africa,"4.5 m [14'9""] white shark",24-Jun-1990,Jun,y,F,White,21.0
982,1990.05.06,1990,Unprovoked,south africa,"5.5 m [18'] white shark, identified by witnesses & tooth marks",06-May-1990,May,n,M,White,22.0
983,1990.04.14,1990,Unprovoked,south africa,"2.3 m [7.5'] white shark, identified by M. Smale",14-Apr-1990,Apr,n,M,White,23.0
984,1990.04.09,1990,Unprovoked,australia,"Tiger shark, 3 m ",09-Apr-1990,Apr,n,M,Tiger,31.0
985,1989.11.18,1989,Unprovoked,south africa,White shark,18-Nov-1989,Nov,y,M,White,29.0
986,1989.10.22,1989,Unprovoked,australia,2.7 m [9'] white shark,22-Oct-1989,Oct,n,M,White,17.0
987,1989.10.11,1989,Unprovoked,usa,4' shark,11-Oct-1989,Oct,n,M,Unspecified,12.0
988,1989.10.08,1989,Invalid,usa,Shark involvement suspected but not confirmed,08-Oct-1989,Oct,Unknown,M,Unspecified,49.0
989,1989.09.17,1989,Unprovoked,south africa,"White shark, identified by tooth pattern",17-Sep-1989,Sep,n,M,White,29.0
990,1989.09.13,1989,Provoked,usa,150-lb shark,13-Sep-1989,Sep,n,M,Unspecified,51.0
991,1989.09.09.b,1989,Unprovoked,usa,4 m to 5 m [13' to 16.5']  white shark,09-Sep-1989,Sep,n,M,White,38.0
992,1989.08.29,1989,Provoked,australia,Grey nurse shark,29-Aug-1989,Aug,n,M,Grey,30.0
993,1989.08.22.a,1989,Unprovoked,south africa,>3.4 m [11'] white shark,22-Aug-1989,Aug,n,M,White,21.0
994,1989.08.13,1989,Unprovoked,australia,"Bronze whaler shark, 3 m [10'] ",13-Aug-1989,Aug,n,M,Unspecified,17.0
995,1989.07.20,1989,Unprovoked,south africa,2.5 m [8.25'] white shark,20-Jul-1989,Jul,n,M,White,34.0
996,1989.06.05,1989,Unprovoked,south africa,3 m [10'] white shark,05-Jun-1989,Jun,n,M,White,16.0
997,1989.06.03,1989,Unprovoked,south africa,2.5 m [8.25'] white shark,03-Jun-1989,Jun,n,M,White,28.0
998,1989.03.09,1989,Unprovoked,australia,2 m [6.75'] white shark,09-Mar-1989,Mar,y,M,White,27.0
999,1989.02.02,1989,Unprovoked,italy,6 m [20'] white shark,02-Feb-1989,Feb,y,M,White,47.0
1000,1989.01.26.b,1989,Invalid,usa,Invalid,26-Jan-1989,Jan,Unknown,M,Unspecified,24.0
1001,1989.01.26.a,1989,Unprovoked,usa,5 m [16.5'] white shark,26-Jan-1989,Jan,y,F,White,24.0
1002,1989.01.03,1989,Unprovoked,australia,"Tiger shark, 4 m [13'] ",03-Jan-1989,Jan,n,M,Tiger,17.0
1003,1988.10.23,1988,Unprovoked,usa,5.5 m to 6 m [18' to 20']  white shark,23-Oct-1988,Oct,n,M,White,21.0
1004,1988.10.11,1988,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,11-Oct-1988,Oct,n,M,Unspecified,30.0
1005,1988.10.10,1988,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,10-Oct-1988,Oct,n,M,Unspecified,23.0
1006,1988.09.28,1988,Unprovoked,usa,5' shark,28-Sep-1988,Sep,n,M,Unspecified,21.0
1007,1988.09.13.a,1988,Unprovoked,usa,3 m [10'] bull shark,13-Sep-1988,Sep,y,M,Bull,38.0
1008,1988.08.11,1988,Unprovoked,usa,2.4 m to 3 m [8' to 10'] white shark,11-Aug-1988,Aug,n,M,White,27.0
1009,1988.06.19,1988,Unprovoked,south africa,White shark,16-Jun-1988,Jun,n,M,White,36.0
1010,1988.06.09,1988,Unprovoked,usa,Sand shark?,09-Jun-1988,Jun,n,M,Unspecified,37.0
1011,1988.06.01,1988,Unprovoked,usa,1.8 m to 2.4 m [6' to 8'] shark,01-Jun-1988,Jun,n,M,Unspecified,25.0
1012,1988.03.16,1988,Unprovoked,south africa,1.5 m to 2 m [5' to 6.75'] shark,16-Mar-1988,Mar,n,M,Unspecified,17.0
1013,1988.02.14,1988,Unprovoked,south africa,"1 m ""grey-colored"" shark",14-Feb-1988,Feb,n,M,Grey,20.0
1014,1988.02.13,1988,Unprovoked,south africa,Zambezi shark (tooth fragments recovered),13-Feb-1988,Feb,n,F,Unspecified,15.0
1015,1988.01.27,1988,Invalid,south africa,Shark involvement not confirmed,27-Jan-1988,Jan,Unknown,M,Unspecified,22.0
1016,1988.01.06,1988,Provoked,south africa,1.5 m copper shark,06-Jan-1988,Jan,n,M,Unspecified,33.0
1017,1987.12.17,1987,Unprovoked,usa,1.8 m [6'] blacktip shark,17-Dec-1987,Dec,n,M,Unspecified,16.0
1018,1987.10.26,1987,Unprovoked,usa,2 m [6.75'] shark,26-Oct-1987,Oct,n,M,Unspecified,20.0
1019,1987.10.25,1987,Invalid,south africa,Questionable incident,25-Oct-1987,Oct,Unknown,M,Unspecified,14.0
1020,1987.10.11,1987,Unprovoked,south africa,White shark,11-Oct-1987,Oct,n,M,White,21.0
1021,1987.09.13,1987,Unprovoked,south africa,3.5 m [11.5']  white shark,13-Sep-1987,Sep,n,M,White,24.0
1022,1987.08.20,1987,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,20-Aug-1987,Aug,n,M,Unspecified,12.0
1023,1987.08.15,1987,Unprovoked,usa,5.7 m white shark,15-Aug-1987,Aug,n,M,White,40.0
1024,1987.07.21,1987,Unprovoked,usa,3' to 4' shark,21-Jul-1987,Jul,n,M,Unspecified,27.0
1025,1987.07.12.b,1987,Unprovoked,usa,4' shark,12-Jul-1987,Jul,n,F,Unspecified,32.0
1026,1987.07.12.a,1987,Unprovoked,usa,4' shark,12-Jul-1987,Jul,n,F,Unspecified,16.0
1027,1987.04.01,1987,Unprovoked,vanuatu,4.3 m shark,01-Apr-1987,Apr,y,M,Unspecified,8.0
1028,1987.01.28,1987,Unprovoked,south africa,>2.5 m [8.25'] white shark,28-Jan-1987,Jan,n,M,White,30.0
1029,1986.12.22,1986,Unprovoked,south africa,3 m [10'] white shark,22-Dec-1986,Dec,y,M,White,21.0
1030,1986.12.11,1986,Unprovoked,usa,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,11-Dec-1986,Dec,n,M,Unspecified,40.0
1031,1986.12.06.a,1986,Unprovoked,usa,5 m to 6 m [16.5' to 20'] white shark,06-Dec-1986,Dec,n,M,White,27.0
1032,1986.10.03,1986,Unprovoked,usa,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",03-Oct-1986,Oct,n,F,Lemon,6.0
1033,1986.10.05,1986,Unprovoked,south africa,1.6 m shark,05-Oct-1986,Oct,n,M,Unspecified,32.0
1034,1986.08.10,1986,Invalid,south africa,Invalid,10-Aug-1986,Aug,Unknown,M,Unspecified,35.0
1035,1986.07.00.a,1986,Unprovoked,south africa,1.2 m [4'] dusky shark,Jul-1986,Jul,n,M,Unspecified,26.0
1036,1986.03.15,1986,Unprovoked,south africa,>1 m shark,15-Mar-1986,Mar,n,M,Unspecified,26.0
1037,1986.02.18,1986,Unprovoked,south africa,>2.4 m [8'] white shark,18-Feb-1986,Feb,n,M,White,21.0
1038,1986.02.07,1986,Unprovoked,south africa,Raggedtooth shark,07-Feb-1986,Feb,n,M,Unspecified,46.0
1039,1986.02.06,1986,Unprovoked,south africa,"Raggedtooth shark, 2 m [6.75'] ",06-Feb-1986,Feb,n,M,Unspecified,29.0
1040,1986.02.01,1986,Unprovoked,australia,"Bronze whaler shark, 3.5 m ",01-Feb-1986,Feb,n,M,Unspecified,29.0
1041,1986.01.12,1986,Unprovoked,usa,Blacktip shark,12-Jan-1986,Jan,n,M,Unspecified,22.0
1042,1986.00.00,1986,Unprovoked,usa,1.5 m [5'] shark,1986,,n,M,Unspecified,16.0
1043,1985.10.24,1985,Unprovoked,south africa,2.5 m [8.25'] white shark,24-Oct-1985,Oct,n,M,White,22.0
1044,1985.10.22,1985,Unprovoked,usa,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,22-Oct-1985,Oct,n,M,Unspecified,46.0
1045,1985.09.05,1985,Invalid,usa,Invalid,05-Sep-1985,Sep,Unknown,M,Unspecified,17.0
1046,1985.08.20,1985,Invalid,usa,Shark involvement not confirmed,20-Aug-1985,Aug,Unknown,M,Unspecified,11.0
1047,1985.08.17,1985,Invalid,usa,Shark involvement prior to death not confirmed,17-Aug-1985,Aug,Unknown,M,Unspecified,25.0
1048,1985.07.25.b,1985,Unprovoked,usa,Possibly a small hammerhead shark,25-Jul-1985,Jul,n,F,Unspecified,13.0
1049,1985.07.00,1985,Unprovoked,italy,"3 m to 3.6 m  [10' to 11'9""] white shark",Mid Jul-1985 or mid Jul-1986,MidJulJul,n,M,White,13.0
1050,1985.03.03,1985,Unprovoked,australia,6 m [20'] white shark,03-Mar-1985,Mar,y,F,White,33.0
1051,1985.02.18,1985,Unprovoked,usa,6 m [20'] white shark,18-Feb-1985,Feb,n,M,White,29.0
1052,1985.01.27,1985,Unprovoked,south africa,Raggedtooth shark,27-Jan-1985,Jan,n,M,Unspecified,15.0
1053,1985.01.17,1985,Unprovoked,south africa,"3.5 m white shark, tooth fragments recovered",17-Jan-1985,Jan,n,M,White,18.0
1054,1985.01.04,1985,Unprovoked,south africa,3.5 m [11.5'] white shark,04-Jan-1985,Jan,n,M,White,34.0
1055,1985.01.00.a,1985,Provoked,south africa,1.5 m [5'] dusky shark,Jan-1985,Jan,n,M,Unspecified,20.0
1056,1984.11.30,1984,Unprovoked,australia,"Tiger shark, 4 m ",30-Nov-1984,Nov,y,M,Tiger,16.0
1057,1984.10.21.b,1984,Invalid,usa,Shark involvement prior to death was not confirmed,21-Oct-1984,Oct,Unknown,M,Unspecified,22.0
1058,1984.10.21,1984,Unprovoked,usa,1.5 m [5'] shark,21-Oct-1984,Oct,n,F,Unspecified,23.0
1059,1984.10.17,1984,Invalid,usa,Shark involvement not confirmed; officials considered barracua,17-Oct-1984,Oct,Unknown,F,Unspecified,25.0
1060,1984.10.14.a,1984,Unprovoked,usa,1.2 m [4'] blacktip shark,14-Oct-1984,Oct,n,M,Unspecified,15.0
1061,1984.09.30.b,1984,Unprovoked,usa,3 m to 5 m [10' to 16.5'] white shark,30-Sep-1984,Sep,n,M,White,25.0
1062,1984.09.22.a,1984,Unprovoked,usa,Hammerhead shark?+O2356,22-Sep-1984,Sep,n,M,Unspecified,16.0
1063,1984.09.15,1984,Unprovoked,usa,4.5 m to 5 m white shark,15-Sep-1984,Sep,y,M,White,28.0
1064,1984.07.24.a,1984,Unprovoked,usa,1.2 m [4'] shark,24-Jul-1984,Jul,n,F,Unspecified,18.0
1065,1984.07.22,1984,Invalid,south africa,Shark involvement prior to death was not confirmed,22-Jul-1984,Jul,Unknown,M,Unspecified,21.0
1066,1984.06.15,1984,Unprovoked,south africa,2.4 m [8'] white shark,15-Jun-1984,Jun,n,M,White,27.0
1067,1984.06.03.b,1984,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] hammerhead shark,03-Jun-1984,Jun,n,F,Unspecified,13.0
1068,1984.02.17,1984,Provoked,south africa, 1.5 m [5'] dusky shark,17-Feb-1984,Feb,n,M,Unspecified,33.0
1069,1984.01.05,1984,Unprovoked,south africa,"Raggedtooth shark, 1 m ",05-Jan-1984,Jan,n,M,Unspecified,14.0
1070,1983.12.21,1983,Unprovoked,south africa,"Raggedtooth shark, >1 m ",21-Dec-1983,Dec,n,M,Unspecified,47.0
1071,1983.08.20.a,1983,Unprovoked,south africa,5 m [16.5'] white shark,20-Aug-1983,Aug,n,M,White,29.0
1072,1983.08.15,1983,Unprovoked,usa,Sand shark,15-Aug-1983,Aug,n,F,Unspecified,14.0
1073,1983.08.13.a,1983,Unprovoked,usa,6' to 8' bull shark,13-Aug-1983,Aug,n,F,Bull,22.0
1074,1983.07.26,1983,Sea Disaster,australia,"Tiger shark, 5 m [16.5']",26-Jul-1983,Jul,y,F,Tiger,21.0
1075,1983.07.25.b,1983,Sea Disaster,australia,"Tiger shark, 5 m [16.5']",25-Jul-1983,Jul,y,M,Tiger,24.0
1076,1983.07.25.a,1983,Sea Disaster,australia,"Tiger shark, 5 m [16.5']",25-Jul-1983,Jul,n,M,Tiger,28.0
1077,1983.07.12.b,1983,Unprovoked,usa,3.5' hammerhead shark,12-Jul-1983,Jul,n,F,Unspecified,39.0
1078,1983.05.31,1983,Unprovoked,usa,6' shark,31-May-1983,May,n,M,Unspecified,21.0
1079,1983.04.12,1983,Unprovoked,south africa,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",12-Apr-1983,Apr,n,M,Unspecified,27.0
1080,1983.03.30.a,1983,Unprovoked,south africa,1.8 m [6'] Zambezi shark,30-Mar-1983,Mar,n,M,Unspecified,17.0
1081,1983.02.20,1983,Unprovoked,south africa,3 m [10'] shark,20-Feb-1983,Feb,n,M,Unspecified,16.0
1082,1983.01.08,1983,Unprovoked,south africa,White shark,08-Jan-1983,Jan,n,M,White,32.0
1083,1982.10.13,1982,Unprovoked,usa,1.5 m [5'] shark,13-Oct-1982,Oct,n,M,Unspecified,26.0
1084,1982.09.30.a,1982,Unprovoked,south africa,"Believed to involve a 2.8 m [9'3""] white shark",30-Sep-1982,Sep,n,M,White,16.0
1085,1982.09.27,1982,Unprovoked,usa,1.5 m [5'] shark,27-Sep-1982,Sep,n,M,Unspecified,20.0
1086,1982.09.25,1982,Unprovoked,usa,White shark,25-Sep-1982,Sep,n,M,White,36.0
1087,1982.09.19,1982,Unprovoked,usa,5 m to 6 m [16.5' to 20'] white shark,19-Sep-1982,Sep,n,M,White,28.0
1088,1982.08.29.b,1982,Invalid,usa,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,29-Aug-1982,Aug,Unknown,M,Unspecified,17.0
1089,1982.07.31,1982,Invalid,south africa,Invalid,31-Jul-1982,Jul,Unknown,M,Unspecified,20.0
1090,1982.07.24.b,1982,Unprovoked,south africa,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",24-Jul-1982,Jul,n,M,White,38.0
1091,1982.07.24.a,1982,Unprovoked,usa,4.5 m to 5.5 m [14.7' to 18'] white shark,24-Jul-1982,Jul,n,M,White,26.0
1092,1982.07.19,1982,Unprovoked,usa,0.9 m to 1.2 m [3' to 4'] shark,19-Jul-1982,Jul,n,M,Unspecified,17.0
1093,1982.06.29,1982,Unprovoked,south africa,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",29-Jun-1982,Jun,y,M,White,27.0
1094,1982.06.26.b,1982,Unprovoked,usa,5' shark,26-Jun-1982,Jun,n,M,Unspecified,20.0
1095,1982.01.29,1982,Unprovoked,south africa,Raggedtooth shark,29-Jan-1982,Jan,n,M,Unspecified,20.0
1096,1981.12.19,1981,Unprovoked,usa,7 m [23'] white shark,19-Dec-1981,Dec,y,M,White,24.0
1097,1981.10.19.a,1981,Unprovoked,usa,1.8 m to 2.4 m [6' to 8'] shark,19-Oct-1981,Oct,n,M,Unspecified,19.0
1098,1981.09.15,1981,Unprovoked,usa,Said to involve a tiger shark or a hammerhead shark,15-Sep-1981,Sep,y,M,Tiger,26.0
1099,1981.08.07,1981,Unprovoked,bahamas,Mako shark (tooth fragments recovered),07-Aug-1981,Aug,n,M,Unspecified,53.0
1100,1981.07.18,1981,Unprovoked,south africa,Possibly a  1.8 m [6'] Zambezi shark,18-Jul-1981,Jul,n,M,Unspecified,32.0
1101,1981.05.23,1981,Unprovoked,south korea,6 m  white shark,23-May-1981,May,y,F,White,27.0
1102,1981.05.20,1981,Unprovoked,south africa,Raggedtooth shark,20-May-1981,May,n,M,Unspecified,27.0
1103,1981.05.10,1981,Unprovoked,south africa,"Raggedtooth shark, 2.5 m [8.25'] ",10-May-1981,May,n,M,Unspecified,19.0
1104,1981.05.05,1981,Unprovoked,south africa,"Tiger shark, 2.1 m [7']",05-May-1981,May,n,M,Tiger,24.0
1105,1981.03.25,1981,Unprovoked,usa,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",25-Mar-1981,Mar,n,M,Bull,19.0
1106,1981.03.24,1981,Unprovoked,usa,C. maculpinnis or C. limbatus,24-Mar-1981,Mar,n,M,Unspecified,24.0
1107,1981.02.19,1981,Unprovoked,south africa,Juvenile dusky or blacktip shark,19-Feb-1981,Feb,n,M,Unspecified,30.0
1108,1981.02.02,1981,Unprovoked,usa,1.8 m to 2.4 m [6' to 8'] hammerhead shark,02-Feb-1981,Feb,n,M,Unspecified,15.0
1109,1981.00.00.b,1981,Unprovoked,australia,"Tiger shark, 2.5 m ",1981,,n,M,Tiger,27.0
1110,1980.12.30,1980,Unprovoked,south africa,3.5 m [11.5'] shark,12-30-1980,,n,M,Unspecified,25.0
1111,1980.11.24,1980,Unprovoked,reunion,1.8 m [6'] white shark,24-Nov-1980,Nov,n,M,White,22.0
1112,1980.10.27,1980,Unprovoked,usa,4 m to 5 m [13' to 16.5'] white shark,27-Oct-1980,Oct,n,M,White,29.0
1113,1980.10.17,1980,Unprovoked,usa,4 m to 5 m [13' to 16.5'] white shark,17-Oct-1980,Oct,n,M,White,19.0
1114,1980.07.23,1980,Unprovoked,usa,4' to 8' shark,23-Jul-1980,Jul,n,F,Unspecified,22.0
1115,1980.05.15,1980,Unprovoked,south africa,1.8 m [6'] shark,15-May-1980,May,n,M,Unspecified,22.0
1116,1980.04.00,1980,Unprovoked,mexico,Tiger shark,Apr-1980,Apr,n,F,Tiger,13.0
1117,1980.01.31,1980,Unprovoked,south africa,"2.8 m [9'3""] white shark",31-Jan-1980,Jan,n,M,White,24.0
1118,1980.01.15,1980,Provoked,south africa,"2 m [6'9""] Zambesi shark",15-Jan-1980,Jan,n,M,Unspecified,29.0
1119,1980.01.10,1980,Unprovoked,south africa,"Raggedtooth shark, 2 m [6'9""] ",10-Jan-1980,Jan,n,M,Unspecified,25.0
1120,1980.00.00.b,1980,Invalid,south africa,Invalid,1980,,Unknown,M,Unspecified,20.0
1121,1979.11.27,1979,Unprovoked,usa,"White shark, 4 m [13'] ",27-Nov-1979,Nov,n,M,White,20.0
1122,1979.05.05,1979,Provoked,south africa,"White shark, 2.5 m [8.25']  ",05 May 1979,May,n,M,White,25.0
1123,1979.03.24,1979,Unprovoked,usa,Blacktip or spinner shark,24-Mar-1979,Mar,n,M,Unspecified,27.0
1124,1979.02.21,1979,Unprovoked,south africa,1.5 m to 2 m [5' to 6.75'] shark,21-Feb-1979,Feb,n,M,Unspecified,19.0
1125,1978.12.12,1978,Unprovoked,south africa,"White shark, 2.3 m [7.5'], tooth fragment recovered",12-Dec-1978,Dec,y,M,White,23.0
1126,1978.09.27,1978,Unprovoked,south africa,"White shark, 3.7 m [12'] ",27-Sep-1978,Sep,n,M,White,27.0
1127,1978.01.17,1978,Unprovoked,south africa,Thought to involve a blacktip shark,07-Jan-1978,Jan,n,M,Unspecified,17.0
1128,1977.12.19.a,1977,Unprovoked,south africa,"Tiger shark, 3 m [10']",19-Dec-1977,Dec,n,M,Tiger,18.0
1129,1977.10.30,1977,Unprovoked,south africa,"White shark, 5 m [16.5'] ",30-Oct-1977,Oct,n,M,White,25.0
1130,1977.08.31,1977,Unprovoked,australia,White shark,31-Aug-1977,Aug,n,M,White,17.0
1131,1977.08.14,1977,Unprovoked,usa,"White shark, 5.5 m to 6 m [18' to 20']  ",14-Aug-1977,Aug,n,M,White,20.0
1132,1977.06.26,1977,Provoked,usa,"Bull shark, 8",26-Jun-1977,Jun,n,M,Bull,27.0
1133,1976.12.18,1976,Unprovoked,usa,"White shark, 5.5 m [18'] ",18-Dec-1976,Dec,n,M,White,29.0
1134,1976.11.27,1976,Unprovoked,south africa,"White shark, 3 m [10'] k",27-Nov-1976,Nov,n,M,White,19.0
1135,1976.11.25,1976,Unprovoked,usa,2.1 m [7'] lemon shark or bull shark,25-Nov-1976,Nov,n,M,Lemon,19.0
