,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
95,2015.10.09.a,2015,Unprovoked,usa,"Tiger shark, 13' ",09-Oct-2015,Oct,n,M,Tiger,25.0
96,2015.10.05.a,2015,Unprovoked,usa,4' to 5' shark,05-Oct-2015,Oct,n,M,Unspecified,13.0
97,2015.10.04,2015,Unprovoked,usa,"Blacktip shark, 4' to 5'",04-Oct-2015,Oct,n,M,Unspecified,14.0
98,2015.09.29,2015,Unprovoked,usa,"Blacktip shark, 5' to 6'",29-Sep-2015,Sep,n,M,Unspecified,22.0
99,2015.09.20.d,2015,Unprovoked,usa,juvenile shark,20-Sep-2015,Sep,n,M,Unspecified,14.0
100,2015.09.20.c,2015,Unprovoked,usa,"Tiger shark, 13'",20-Sep-2015,Sep,n,M,Tiger,27.0
101,2015.09.20.b,2015,Unprovoked,usa,4' shark,20-Sep-2015,Sep,n,M,Unspecified,12.0
102,2015.09.08,2015,Unprovoked,australia,6' shark,08-Sep-2015,Sep,n,M,Unspecified,42.0
103,2015.09.06,2015,Unprovoked,usa,"White shark, 11' to 12'",06-Sep-2015,Sep,n,F,White,50.0
104,2015.09.05,2015,Provoked,usa,Hammerhead shark.,05-Sep-2015,Sep,n,M,Unspecified,29.0
105,2015.09.04,2015,Unprovoked,australia,"White shark, 2.5 m",04-Sep-2015,Sep,n,M,White,62.0
106,2015.09.01,2015,Unprovoked,thailand,small shark,01-Sep-2015,Sep,n,F,Unspecified,37.0
107,2015.08.29.b,2015,Unprovoked,usa,"White shark, 11' to 12'",29-Aug-2015,Aug,n,F,White,54.0
108,2015.08.29.a,2015,Unprovoked,usa,"White shark, 10' to 12' ",29-Aug-2015,Aug,n,M,White,21.0
109,2015.08.20,2015,Unprovoked,usa,4' shark,20-Aug-2015,Aug,n,M,Unspecified,15.0
110,2015.08.19,2015,Unprovoked,usa,3' shark,19-Aug-2015,Aug,n,F,Unspecified,10.0
111,2015.08.18.b,2015,Boating,usa,"White shark, 13'",18-Aug-2015,Aug,n,M,White,22.0
112,2015.08.18.a,2015,Invalid,spain,Shark involvement not confirmed,18-Aug-2015,Aug,Unknown,M,Unspecified,10.0
113,2015.08.10,2015,Provoked,usa,Hammerhead shark. 6' to 7',10-Aug-2015,Aug,n,M,Unspecified,57.0
114,2015.07.31,2015,Unprovoked,australia,White shark,31-Jul-2015,Jul,n,M,White,52.0
115,2015.07.26.b,2015,Unprovoked,usa,"Blacktip or spinner shark, 4'",26-Jul-2015,Jul,n,M,Unspecified,25.0
116,2015.07.26.a,2015,Invalid,usa,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",26-Jul-2015,Jul,Unknown,F,Unspecified,35.0
117,2015.07.25,2015,Unprovoked,australia,"White shark, 3.9 to 4.2 m",25-Jul-2015,Jul,y,M,White,46.0
118,2015.07-10,2015,Unprovoked,usa,"White shark, 7'",10-Jul-2015,Jul,n,M,White,38.0
119,2015.07.03,2015,Unprovoked,australia,White shark,03-Jul-2015,Jul,n,M,White,52.0
120,2015.07.02,2015,Unprovoked,australia,White shark,02-Jul-2015,Jul,n,M,White,32.0
121,2015.07.01,2015,Unprovoked,usa,6' to 7' shark,01-Jul-2015,Jul,n,M,Unspecified,25.0
122,2015.06.30.a,2015,Unprovoked,usa,4' to 5' shark,30-Jun-2015,Jun,n,M,Unspecified,12.0
123,2015.06.27.b,2015,Unprovoked,usa,Bull shark,27-Jun-2015,Jun,n,M,Bull,18.0
124,2015.06.27.a,2015,Unprovoked,south africa,White shark,27-Jun-2015,Jun,n,M,White,19.0
125,2015.06.26.b,2015,Unprovoked,south africa,"White shark, 2m to 3 m",26-Jun-2015,Jun,n,M,White,23.0
126,2015.06.26.a,2015,Unprovoked,usa,4' shark,26-Jun-2015,Jun,n,M,Unspecified,43.0
127,2015.06.24.b,2015,Unprovoked,usa,Sandtiger shark,24-Jun-2015,Jun,n,M,Tiger,6.0
128,2015.06.24.a,2015,Invalid,australia,White shark,24-Jun-2015,Jun,n,F,White,37.0
129,2015.06.14.b,2015,Unprovoked,usa,Bull shark,14-Jun-2015,Jun,n,M,Bull,16.0
130,2015.06.14.a,2015,Unprovoked,usa,Bull shark,14-Jun-2015,Jun,n,F,Bull,12.0
131,2015.06.11,2015,Unprovoked,usa,4' shark,11-Jun-2015,Jun,n,F,Unspecified,13.0
132,2015.06.07,2015,Unprovoked,usa,"Bull shark, 5'",07-Jun-2015,Jun,n,M,Bull,11.0
133,2015.06.01,2015,Unprovoked,reunion,"Bull shark, 2.5 m",01-Jun-2015,Jun,n,M,Bull,47.0
134,2015.05.25,2015,Unprovoked,french polynesia,1m to 1.2 m shark,25-May-2015,May,n,M,Unspecified,19.0
135,2015.05.20,2015,Unprovoked,usa,5' shark,20-May2015,May2015,n,M,Unspecified,18.0
136,2015.05.02,2015,Unprovoked,south africa,"White shark, 3.5 m",02-May-2015,May,n,M,White,29.0
137,2015.04.26,2015,Unprovoked,usa,3- to 4-foot shark,26-Apr-2015,Apr,n,M,Unspecified,63.0
138,2015.04.25,2015,Unprovoked,australia,"White shark, 6 m",25-Apr-2015,Apr,n,M,White,26.0
139,2015.04.24.c,2015,Unprovoked,australia,"White shark, 3 m",24-Jun-2015,Jun,n,M,White,25.0
