,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
611,2004.05.29,2004,usa,16,0.9 m to 1.5 m [3' to 5'] shark,May,n,M,Unspecified,16.0
612,2004.05.23.b,2004,brazil,17,Bull shark,May,n,M,Bull,17.0
613,2004.05.28,2004,usa,44,2.4 m to 3.7 m [8' to 12'] shark,May,n,M,Unspecified,44.0
614,2004.05.18,2004,bahamas,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",May,n,M,Unspecified,63.0
615,2004.05.04,2004,usa,28,"Mako shark, 1.8 m [6']",May,n,M,Unspecified,28.0
616,2004.04.07,2004,usa,57,Tiger shark,Apr,y,M,Tiger,57.0
617,2004.04.05,2004,south africa,16,5 m [16.5'] white shark,Apr,n,M,White,16.0
618,2004.03.31.a,2004,usa,20,1.2 m [4'] bull shark,Mar,n,M,Bull,20.0
619,2004.03.29,2004,brazil,22,bull shark,Mar,n,M,Bull,22.0
620,2004.03.27.b,2004,reunion,20,2.5 m shark,Mar,n,M,Unspecified,20.0
621,2004.03.16,2004,usa,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Mar,n,M,Tiger,51.0
622,2004.02.26,2004,new zealand,15,2 m [6.75'] sevengill  shark,Feb,n,M,Unspecified,15.0
623,2004.02.16,2004,australia,31,Shark involvement not confirmed,Feb,,M,Unspecified,31.0
624,2004.01.25,2004,australia,46,4 m to 5 m [13' to 16.5'] white shark,Jan,n,M,White,46.0
625,2004.01.21.a,2004,venezuela,40,"Bull shark, 132-kg [291-lb] ",Jan,n,M,Bull,40.0
626,2003.11.27,2003,south africa,21,"Tiger shark, 4 m [13']  ?",Nov,y,M,Tiger,21.0
627,2003.11.22,2003,usa,35,4' shark,Nov,n,F,Unspecified,35.0
628,2003.10.31.c,2003,usa,18,1.2 m to 1.5 m [4' to 5'] shark,Oct,n,M,Unspecified,18.0
629,2003.10.31.b,2003,australia,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",Oct,n,M,Grey,22.0
630,2003.10.31.a,2003,usa,13,"Tiger shark, 14' ",Oct,n,F,Tiger,13.0
631,2003.10.24,2003,usa,56,Shark involvement not confirmed,Oct,,M,Unspecified,56.0
632,2003.10.14,2003,usa,19,1.2 m [4'] shark,Oct,n,M,Unspecified,19.0
633,2003.10.05.a,2003,usa,41,"1.2 m [4'] ""grey-colored shark""",Oct,n,F,Grey,41.0
634,2003.09.14.c,2003,usa,30,3' shark,Sep,n,M,Unspecified,30.0
635,2003.09.14.a,2003,usa,8 or 10,Shark involvement doubtful,Sep,,F,Unspecified,8.0
636,2003.09.13.b,2003,usa,18,6' shark,Sep,n,M,Unspecified,18.0
637,2003.09.13.a,2003,usa,15,7' shark,Sep,n,M,Unspecified,15.0
638,2003.09.12,2003,south africa,19,White shark,Sep,y,M,White,19.0
639,2003.08.19,2003,usa,50,4.5 m to 5.5 m [15' to 18'] white shark,Aug,y,F,White,50.0
640,2003.08.12,2003,usa,31,Shark involvement not confirmed,Aug,,M,Unspecified,31.0
641,2003.08.08,2003,south africa,16,3.5 m [11.5'] white shark,Aug,n,M,White,16.0
642,2003.07.09,2003,bahamas,58,Unidentified species,Jul,n,M,Unspecified,58.0
643,2003.07.05.b,2003,usa,10,2' shark,Jul,n,M,Unspecified,10.0
644,2003.07.04,2003,bahamas,39,2.1 m  [7'] bull shark,Jul,n,M,Bull,39.0
645,2003.06.30,2003,usa,17,Unidentified species,Jun,n,M,Unspecified,17.0
646,2003.06.26,2003,usa,15,106 cm [3.5']  shark,Jun,n,M,Unspecified,15.0
647,2003.06.24.b,2003,usa,12,small brown shark,Jun,n,F,Unspecified,12.0
648,2003.06.24.a,2003,usa,60,3.7 m to 4.3 m [12' to 14'] shark,Jun,n,M,Unspecified,60.0
649,2003.06.19,2003,usa,33,"""sand shark""",Jun,n,M,Unspecified,33.0
650,2003.05.14,2003,usa,22,3' to 5' shark,May,n,M,Unspecified,22.0
651,2003.05.10,2003,usa,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,May,n,M,Grey,20.0
652,2003.05.07,2003,usa,34,4' to 5' shark,May,n,M,Unspecified,34.0
653,2003.04.23.b,2003,brazil,17,Bull shark,Apr,n,M,Bull,17.0
654,2003.04.21.b,2003,usa,36,Unidentified species,Apr,n,M,Unspecified,36.0
655,2003.04.21.a,2003,usa,17,Unidentified species,Apr,n,M,Unspecified,17.0
656,2003.04.20.c,2003,usa,30,Unidentified species,Apr,n,M,Unspecified,30.0
657,2003.04.20.b,2003,usa,23,0.9 m to 1.2 m [3' to 4'] shark,Apr,n,M,Unspecified,23.0
658,2003.04.20.a,2003,usa,18,Unidentified species,Apr,n,M,Unspecified,18.0
659,2003.04.19,2003,usa,11,A small shark,Apr,n,M,Unspecified,11.0
660,2003.04.18,2003,usa,12,Unidentified species,Apr,n,M,Unspecified,12.0
661,2003.04.15,2003,usa,20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",Apr,n,M,Unspecified,20.0
662,2003.04.11,2003,venezuela,28,"Mako shark, 3 m [10']",Apr,n,M,Unspecified,28.0
663,2003.04.04,2003,usa,50,4' to 5' shark,Apr,n,M,Unspecified,50.0
664,2003.02.27,2003,new zealand,44,2.5 m [8.25'] white shark,Feb,n,M,White,44.0
665,2003.02.15.b,2003,australia,37,"""a small shark""",Feb,n,M,Unspecified,37.0
666,2003.02.15.a,2003,usa,54,Species unidentified,Feb,n,M,Unspecified,54.0
667,2003.02.11,2003,australia,24,Thought to involve a 2 m [6.75'] grey nurse shark,Feb,n,M,Grey,24.0
668,2003.02.08,2003,australia,84,Thought to involve a >2 m [6.75'] bull shark,Feb,y,M,Bull,84.0
669,2003.01.17,2003,south africa,14,Shark involvement prior to death was not confirmed,Jan,,M,Unspecified,14.0
670,2002.12.24,2002,south africa,25,"White shark, 4 m white shark",Dec,n,M,White,25.0
671,2002.12.16,2002,australia,23,Bull shark,Dec,y,M,Bull,23.0
672,2002.11.28.a,2002,usa,48,3 m to 4.5 m [10' to 15'] white shark,Nov,n,M,White,48.0
673,2002.11.17,2002,usa,34,2.4 m to 3 m [8' to 10'] grey colored shark,Nov,n,F,Grey,34.0
674,2002.11.14,2002,turks & caicos,41,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,Nov,n,F,Unspecified,41.0
675,2002.11.11,2002,usa,21,6' shark,Nov,n,M,Unspecified,21.0
676,2002.11.02,2002,usa,16,3' to 4' shark,Nov,n,M,Unspecified,16.0
677,2002.10.30,2002,usa,60,A small shark,Oct,n,F,Unspecified,60.0
678,2002.10.14,2002,brazil,36,Possibly a bull shark or tiger shark,Oct,y,M,Tiger,36.0
679,2002.10.05.b,2002,usa,14,Blacktip or spinner shark,Oct,n,M,Unspecified,14.0
680,2002.10.05.a,2002,usa,35,3.5' to 4.5' shark,Oct,n,M,Unspecified,35.0
681,2002.10.03,2002,usa,18,3.5' to 4' shark,Oct,n,M,Unspecified,18.0
682,2002.09.30,2002,usa,47,4' to 5' shark,Sep,n,M,Unspecified,47.0
683,2002.09.27.c,2002,usa,55,1.2 m [4'] blacktip shark,Sep,n,M,Unspecified,55.0
684,2002.09.27.b,2002,usa,  ,1.8 m [6'] blacktip shark,Sep,n,M,Unspecified,
685,2002.09.27.a,2002,tonga, ,"Tiger shark, 1.5 m [5']k",Sep,n,M,Tiger,
686,2002.09.21.b,2002,usa,24,2.4 m [8'] shark,Sep,n,M,Unspecified,24.0
687,2002.09.21.a,2002,usa,35,3 m to 3.7 m [10' to 12'] shark,Sep,n,M,Unspecified,35.0
688,2002.09.16.b,2002,brazil,19,Bull or tiger shark,Sep,n,M,Tiger,19.0
689,2002.09.13,2002,south africa,47,White shark,Sep,n,M,White,47.0
690,2002.09.09,2002,usa,20,4' to 6' shark,Sep,n,M,Unspecified,20.0
691,2002.09.05,2002,usa,36,1' to 2' hammerhead or bonnethed shark,Sep,n,M,Unspecified,36.0
692,2002.08.28,2002,usa,16,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Aug,n,M,Tiger,16.0
693,2002.08.14,2002,usa,27,0.9 m  to 1.2 m [3' to 4'] shark,Aug,n,M,Unspecified,27.0
694,2002.08.11,2002,usa,15,"Nurse shark, 1.5 m [5'] ",Aug,n,M,Unspecified,15.0
695,2002.08.05,2002,usa,14,1.2 m to 1.5 m [4' to 5'] shark,Aug,n,M,Unspecified,14.0
696,2002.07.26,2002,usa,13,1.2 m [4'] blacktip or sandbar shark,Jul,n,M,Unspecified,13.0
697,2002.07.20,2002,usa,15,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",Jul,n,F,Bull,15.0
698,2002.07.09.b,2002,usa,41,"Mako shark, 400-lb ",Jul,y,M,Unspecified,41.0
699,2002.07.09.a,2002,brazil,22,Bull or tiger shark,Jul,n,M,Tiger,22.0
700,2002.07.04,2002,usa,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",Jul,n,F,Bull,9.0
701,2002.06.11.a,2002,usa,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,Jun,n,M,Unspecified,28.0
702,2002.06.09.b,2002,usa,50,  ,Jun,n,M,Unspecified,50.0
703,2002.06.03,2002,south africa,50,1.5 to 2.5 m [5' to 8.25'] copper shark,Jun,n,M,Unspecified,50.0
704,2002.05.31.b,2002,usa,24,3.7 m to 4.3 m [12' to 14'] white shark,May,n,M,White,24.0
705,2002.05.31.a,2002,usa,16,1 m  shark,May,n,M,Unspecified,16.0
706,2002.05.22.b,2002,usa,55,3' blacktip shark,May,n,M,Unspecified,55.0
707,2002.04.30,2002,australia,23,"White shark, 6m [20']",Apr,y,M,White,23.0
708,2002.04.20,2002,usa,34,1.2 m [4'] shark,Apr,n,M,Unspecified,34.0
709,2002.04.09,2002,bahamas,43,"Bull shark, 400-lb ",Apr,n,M,Bull,43.0
710,2002.04.02,2002,usa,41,3'  shark,Apr,n,M,Unspecified,41.0
711,2002.04.01,2002,usa,29,0.9 m [3'] shark,Apr,n,M,Unspecified,29.0
712,2002.03.25.b,2002,usa,17,Tiger shark,Mar,n,M,Tiger,17.0
713,2002.03.25.a,2002,usa,11,  ,Mar,n,F,Unspecified,11.0
714,2002.03.19,2002,usa,20,4' shark,Mar,n,M,Unspecified,20.0
715,2002.03.15.b,2002,usa,39,"Nurse shark, 1m ",Mar,n,M,Unspecified,39.0
716,2002.03.15.a,2002,usa,31,"Spinner shark, 3' to 4' ",Mar,n,M,Unspecified,31.0
717,2002.02.16,2002,australia,30 or 36,"1.5 m [5'] ""whaler shark""",Feb,n,M,Unspecified,30.0
718,2002.02.07,2002,australia,35,C. leucas tooth fragment recovered from kayak,Feb,n,M,Unspecified,35.0
719,2002.01.30.b,2002,australia,20,"Tiger shark, 3 m [10']",Jan,n,M,Tiger,20.0
720,2002.01.04,2002,south africa,16,Zambesi shark?,Jan,n,M,Unspecified,16.0
721,2002.01.01.b,2002,south africa,26,Unidentified,Jan,n,M,Unspecified,26.0
722,2002.01.01.a,2002,usa,35,"Tiger shark, 1.8 m [6'] ",Jan,n,M,Tiger,35.0
723,2001.10.02,2001,australia,20,Bronze whaler shark?,Oct,n,F,Unspecified,20.0
724,2001.09.30.b,2001,mexico,26,"Tiger shark, 1.8 m [6']",Sep,n,M,Tiger,26.0
725,2001.09.24,2001,usa,21,4' shark,Sep,n,M,Unspecified,21.0
726,2001.09.16,2001,usa,42,Questionable incident - shark bite may have precipitated drowning,Sep,y,M,Unspecified,42.0
727,2001.09.15.b,2001,usa,6½,2' to 3.5' shark,Sep,n,M,Unspecified,6.0
728,2001.09.03.b,2001,usa,28,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,y,M,White,28.0
729,2001.09.03.a,2001,usa,23,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,n,F,White,23.0
730,2001.09.02,2001,usa,20,1.5 m [5'] shark,Sep,n,M,Unspecified,20.0
731,2001.09.01,2001,usa,10,bull shark,Sep,y,M,Bull,10.0
732,2001.08.31,2001,bahamas,44,3 m [10'] bull shark,Aug,n,M,Bull,44.0
733,2001.08.22,2001,usa,17,a small shark,Aug,n,M,Unspecified,17.0
734,2001.08.18.c,2001,usa,20,Possibly  a blacktip or spinner shark,Aug,n,M,Unspecified,20.0
735,2001.08.18.b,2001,usa,19,"3' shark, possibly  a blacktip or spinner shark",Aug,n,M,Unspecified,19.0
736,2001.08.18.a,2001,usa,19,"Blacktip shark, 5' to 6' ",Aug,n,M,Unspecified,19.0
737,2001.08.16,2001,bahamas,43,1.9 m [6.5'] bull shark,Aug,n,M,Bull,43.0
738,2001.07.15.a,2001,usa,18,0.9 m  [3'] shark,Jul,n,M,Unspecified,18.0
739,2001.07.06.a,2001,usa,8,"Bull shark, 2.3 m [7.5'] ",Jul,n,M,Bull,8.0
740,2001.06.10,2001,usa,52,"White shark, 2.4 m to 3 m [8' to 10'] ",Jun,n,M,White,52.0
741,2001.06.03,2001,usa,29,2' shark,Jun,n,F,Unspecified,29.0
742,2001.05.03,2001,usa,45,1.2 m to 1.5 m [4' to 5'] shark,May,n,M,Unspecified,45.0
743,2001.04.13.a,2001,usa,12,Possibly a juvenile blacktip or spinner shark,Apr,n,M,Unspecified,12.0
744,2001.04.12.c,2001,usa,21,Possibly a juvenile blacktip or spinner shark,Apr,n,M,Unspecified,21.0
745,2001.04.12.b,2001,usa,12,Possibly a juvenile blacktip or spinner shark,Apr,n,M,Unspecified,12.0
746,2001.04.12.a,2001,usa,22,Possibly a 1.5 m [5'] blacktip or spinner shark,Apr,n,M,Unspecified,22.0
747,2001.04.11.d,2001,usa,19,Possibly a juvenile blacktip or spinner shark,Apr,n,M,Unspecified,19.0
748,2001.04.08.b,2001,south africa,46,"White shark, 2.7 m [9'] ",Apr,n,M,White,46.0
749,2001.04.05,2001,usa,26,"""small shark""",Apr,n,M,Unspecified,26.0
750,2001.04.02.a,2001,australia,40,Bronze whaler shark,Apr,n,M,Unspecified,40.0
751,2001.02.04,2001,australia,40,"Bronze whaler shark, 2.5 m [8.25']  k",Feb,n,M,Unspecified,40.0
752,2000.12.12,2000,fiji,47,6 m [20'] shark,Dec,y,M,Unspecified,47.0
753,2000.12.03,2000,australia,38,"Bronze whaler shark, 2.5 m [8.25'] ",Dec,n,M,Unspecified,38.0
754,2000.11.18,2000,usa,73,1.2 m to 1.8 m [4' to 6'] shark,Nov,n,M,Unspecified,73.0
755,2000.11.06.b,2000,australia,52,"White shark, 4.9 m [16'] ",Nov,n,M,White,52.0
756,2000.11.06.a,2000,australia,49,"White shark, 5 m [16.5'] ",Nov,y,M,White,49.0
757,2000.11.04,2000,usa,27,"White shark, 2.4 m to 3 m [8' to 10'] ",Nov,n,M,White,27.0
758,2000.10.18,2000,usa,56,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,n,F,Tiger,56.0
759,2000.10.09,2000,usa,17,2.1 to 2.4 m [7' to 8'] shark,Oct,n,M,Unspecified,17.0
760,2000.10.06.b,2000,usa,23,"Blacktip shark, 2' ",Oct,n,M,Unspecified,23.0
761,2000.09.25,2000,australia,17,White shark,Sep,y,M,White,17.0
762,2000.09.24,2000,australia,25,"White shark, 4 m to 5 m [13' to 16.5'] ",Sep,y,M,White,25.0
763,2000.09.16.b,2000,okinawa,31,"White shark, 2.5 m ",Sep,y,M,White,31.0
764,2000.09.11,2000,usa,25,60 cm to 90 cm [2' to 3'] shark,Sep,n,M,Unspecified,25.0
765,2000.09.10.a,2000,south africa,48,"White shark, 3.5 m [11.5']  male ",Sep,n,M,White,48.0
766,2000.09.08.b,2000,usa,40,1.5 m [5'] shark,Sep,n,M,Unspecified,40.0
767,2000.09.08.a,2000,reunion,27,"Tiger shark, 3 m [10'] ",Sep,n,M,Tiger,27.0
768,2000.08.31,2000,usa,47,A 2' shark was seen in the area by witnesses,Aug,n,M,Unspecified,47.0
769,2000.08.30,2000,usa,69,"Thought to involve a 2.7 m [9'], 400-lb bull shark",Aug,y,M,Bull,69.0
770,2000.08.15,2000,usa,53,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",Aug,n,M,Tiger,53.0
771,2000.08.13,2000,usa,27,juvenile shark,Aug,n,M,Unspecified,27.0
772,2000.08.12,2000,usa,44,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",Aug,n,F,Unspecified,44.0
773,2000.07.06,2000,usa,12,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",Jul,n,F,Tiger,12.0
774,2000.07.04.a,2000,usa,55,"Nurse shark, 1.2 m [4'] ",Jul,n,F,Unspecified,55.0
775,2000.07.02.b,2000,usa,13,0.9 m [3'] shark,Jul,n,F,Unspecified,13.0
776,2000.07.02.a,2000,usa,19,"0.9 m [3'] shark,  probably a blacktip or spinner shark",Jul,n,F,Unspecified,19.0
777,2000.06.10,2000,usa,17,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",Jun,n,M,Unspecified,17.0
778,2000.06.09.b,2000,usa,55,Bull shark?,Jun,n,M,Bull,55.0
779,2000.06.09.a,2000,usa,44,Bull shark,Jun,n,M,Bull,44.0
780,2000.03.30,2000,australia,26,2.5 m shark,Mar,n,M,Unspecified,26.0
781,2000.03.26,2000,usa,14,1.8 m [6'] shark,Mar,n,F,Unspecified,14.0
782,2000.03.24,2000,usa,37,1.2 m [4'] shark,Mar,n,M,Unspecified,37.0
783,2000.03.15,2000,new caledonia,35,Tiger shark?,Mar,y,M,Tiger,35.0
784,2000.03.00,2000,usa,39,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",Mar,n,M,Unspecified,39.0
785,1999.12.06,1999,brazil,39,Shark involvement not confirmed,Dec,n,M,Unspecified,39.0
786,1999.11.23,1999,usa,51,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Nov,n,F,Tiger,51.0
787,1999.11.06,1999,brazil,39,1.3 to 1.6 m shark,Nov,n,M,Unspecified,39.0
788,1999.10.01,1999,usa,16,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,n,M,Tiger,16.0
789,1999.09.18,1999,usa,37,White shark,Sep,n,M,White,37.0
790,1999.08.26,1999,usa,28,"""a small shark""",Aug,n,M,Unspecified,28.0
791,1999.08.23,1999,marshall islands,23,7' shark,Aug,n,M,Unspecified,23.0
792,1999.08.16,1999,usa,10,1.8 m [6'] shark,Aug,n,M,Unspecified,10.0
793,1999.08.05.a,1999,usa,62,4' to 5' shark,Aug,n,M,Unspecified,62.0
794,1999.08.05,1999,bahamas,35,2.7 m [9']  bull shark or Caribbean reef shark,Aug,n,M,Bull,35.0
795,1999.07.29,1999,south africa,42,"White shark, 3 m to 5 m [10' to 16.5'] ",Jul,n,M,White,42.0
796,1999.07.26,1999,usa,43,"Bull shark, 2.1 m [7']",Jul,n,M,Bull,43.0
797,1999.07.21,1999,usa,43,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Jul,n,M,Tiger,43.0
798,1999.07.15,1999,south africa,14,White shark,Jul,y,M,White,14.0
799,1999.07.04,1999,usa,30,"Blacktip shark, 1.8 m [6'] ",Jul,n,F,Unspecified,30.0
800,1999.07.03,1999,south africa,29,"White shark, 4 m [13'] ",Jul,n,M,White,29.0
801,1999.06.17,1999,usa,21,3' to 4' shark,Jun,n,M,Unspecified,21.0
802,1999.06.09,1999,usa,5,Blacktip or spinner shark,Jun,n,M,Unspecified,5.0
803,1999.05.29,1999,australia,22,Thought to involve a white shark,May,y,M,White,22.0
804,1999.05.01,1999,brazil,21,"Tiger shark, 2.5 m [8.25']",May,n,M,Tiger,21.0
805,1999.04.22,1999,mauritius,41,"Grey reef shark, 1.5 m ",Apr,n,F,Grey,41.0
806,1999.04.11,1999,reunion,52,3 bull sharks,Apr,y,M,Bull,52.0
807,1999.03.05,1999,usa,29,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,Mar,n,F,Unspecified,29.0
808,1999.02.23,1999,australia,35,Bronze whaler or tiger shark,Feb,n,M,Tiger,35.0
809,1999.02.03,1999,usa,25,Spinner shark,Feb,n,M,Unspecified,25.0
810,1999.00.00.b,1999,south africa,30,"White shark, 4.6 m [15'] ",,n,M,White,30.0
811,1998.12.20.R,1998,south africa,18,Possibly a white shark,ReportedDec,n,M,White,18.0
812,1998.11.21,1998,usa,9,Tiger shark,Nov,y,M,Tiger,9.0
813,1998.11.14,1998,usa,14,1.2 m [4'] shark,Nov,n,M,Unspecified,14.0
814,1998.11.11,1998,usa,13,"A ""small shark""",Nov,n,M,Unspecified,13.0
815,1998.11.02.a,1998,brazil,22,Though to involve a white shark,Nov,y,M,White,22.0
816,1998.08.30,1998,usa,26,3' to 4' shark,Aug,n,M,Unspecified,26.0
817,1998.08.26,1998,usa,16,"White shark, 5 m to 6 m [16.5' to 20'] ",Aug,n,M,White,16.0
818,1998.08.15,1998,bahamas,28,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",Aug,n,M,Unspecified,28.0
819,1998.08.01.a,1998,south africa,24,"White shark, 4.9 m [16']",Aug,n,M,White,24.0
820,1998.07.11,1998,south africa,16,5' to 6' shark,Jul,n,M,Unspecified,16.0
821,1998.06.28.a,1998,australia,26,Thought to involve a 5.5 m white shark named Kong,Jun,y,M,White,26.0
822,1998.06.22,1998,south africa,20,White shark,Jun,y,M,White,20.0
823,1998.05.29.b,1998,south africa,15,3 m to 4 m [10' to 13'] white shark,May,n,M,White,15.0
824,1998.05.29.a,1998,south africa,16,Unidentified,May,n,M,Unspecified,16.0
825,1998.05.25,1998,usa,40,"Lemon shark, 1.5 m [5'], identified  by the surfer",May,n,M,Lemon,40.0
826,1998.05.16.c,1998,usa,14,"1.8 m [6'] shark, possibly a blacktip",May,n,F,Unspecified,14.0
827,1998.05.16.a,1998,south africa,22,4 m [13'] white shark,May,n,M,White,22.0
828,1998.04.26,1998,mozambique,35,3 m [10'] shark,Apr,y,F,Unspecified,35.0
829,1998.04.21,1998,usa,50,5 m [16.5'] white shark,Apr,n,M,White,50.0
830,1998.03.15,1998,south africa,33,3 m [10'] white shark,Mar,n,M,White,33.0
831,1998.03.08.a,1998,usa,32,5' spinner shark,Mar,n,M,Unspecified,32.0
832,1998.01.28.R ,1998,australia,31,Shark involvement not confirmed,ReportedJan,,M,Unspecified,31.0
833,1998.01.14,1998,mozambique,23,Small dusky shark or blackfin shark,Jan,n,M,Unspecified,23.0
834,1997.12.28.b,1997,south africa,39,White shark,Dec,y,M,White,39.0
835,1997.11.09,1997,australia,42,White shark,Nov,n,M,White,42.0
836,1997.10.28.a,1997,usa,19,"Tiger shark, 4 m to 4.3 m [13' to 14'] ",Oct,n,M,Tiger,19.0
837,1997.10.24,1997,usa,23,Possibly a blacktip shark,Oct,n,M,Unspecified,23.0
838,1997.10.21,1997,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Oct,n,M,Unspecified,12.0
839,1997.08.24,1997,usa,29,5 m [16.5'] white shark,Aug,n,M,White,29.0
840,1997.08.02.b,1997,usa,17,juvenile shark,Aug,n,M,Unspecified,17.0
841,1997.08.02.a,1997,usa,19,"""juvenile shark""",Aug,n,M,Unspecified,19.0
842,1997.07.21,1997,south africa,25,4.5 m white shark,Jul,y,M,White,25.0
843,1997.07.14,1997,usa,50,Blacktip shark,Jul,n,M,Unspecified,50.0
844,1997.06.15,1997,fiji,47,"Tiger shark, 2.7m  [9']",Jun,n,F,Tiger,47.0
845,1997.06.09,1997,usa,18,Possibly a spinner shark,Jun,n,M,Unspecified,18.0
846,1997.06.02,1997,usa,33,1.2 m [4'] shark (spinner shark?),Jun,n,M,Unspecified,33.0
847,1997.05.31.c,1997,usa,35,4' shark,May,n,M,Unspecified,35.0
848,1997.05.31.b,1997,usa,34,Possibly a sand shark,May,n,M,Unspecified,34.0
849,1997.05.31.a,1997,usa,12,Possibly a sand shark,May,n,M,Unspecified,12.0
850,1997.02.28.a,1997,australia, 30,"Tiger shark, 2m to 3m ",Feb,n,M,Tiger,30.0
851,1997.01.25,1997,australia,27,1.8 m to 2.1 m [6' to 7'] shark,Jan,n,M,Unspecified,27.0
852,1997.01.20,1997,australia,41,"Tiger shark, 4.5 m [14'9""]",Jan,y,M,Tiger,41.0
853,1996.11.29.a,1996,usa,45,3 m to 5 m [10' to 16.5'] white shark,Nov,n,M,White,45.0
854,1996.10.05.,1996,usa,22,5.5 m to 6 m [18' to 20'] white shark,Oct,n,M,White,22.0
855,1996.10.03.b,1996,usa,21,1.2 m [4'] shark,Oct,n,M,Unspecified,21.0
856,1996.10.03.a,1996,usa,31,5 m [16.5'] white shark,Oct,n,M,White,31.0
857,1996.09.06.b,1996,new zealand,23,White shark,Sep,n,M,White,23.0
858,1996.09.06.a,1996,usa,19,"""a young shark""",Sep,n,M,Unspecified,19.0
859,1996.09.01.b,1996,usa,28,Shark involvement not confirmed,Sep,,F,Unspecified,28.0
860,1996.09.01.a,1996,south africa,29,White shark,Sep,n,M,White,29.0
861,1996.08.29,1996,usa,19,"Tiger shark, 2.4 m [8'] ",Aug,n,M,Tiger,19.0
862,1996.08.13,1996,usa,36,6 m [20'] white shark,Aug,n,M,White,36.0
863,1996.08.11,1996,usa,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,Aug,n,M,Unspecified,21.0
864,1996.07.04.b,1996,usa,63,5' to 6' shark,Jul,n,F,Unspecified,63.0
865,1996.05.28,1996,south africa,17,2.5 m [8.25'] white shark ,May,n,M,White,17.0
866,1996.05.18,1996,usa,22,1.2 m [4'] shark,May,n,M,Unspecified,22.0
867,1996.05.07,1996,usa,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,May,n,M,Unspecified,27.0
868,1996.03.05,1996,australia,47,Tiger shark,Mar,n,F,Tiger,47.0
869,1996.02.26,1996,australia,24,Bronze whaler shark,Feb,n,M,Unspecified,24.0
870,1996.02.04,1996,australia,7,"""reef shark""",Feb,n,M,Unspecified,7.0
871,1996.01.16,1996,usa,53,Possibly a tiger shark,Jan,n,M,Tiger,53.0
872,1996.01.10,1996,reunion,25,"Tiger shark, 300-kg [662-lb] ",Jan,y,M,Tiger,25.0
873,1995.10.11,1995,australia,15,4 m shark,Oct,n,F,Unspecified,15.0
874,1995.10.01,1995,usa,39,1.2 m to 1.5 m [4' to 5']   shark,Oct,n,M,Unspecified,39.0
875,1995.09.30.b,1995,usa,14,1.5 to 1.8 m [5' to 6'] shark,Sep,n,M,Unspecified,14.0
876,1995.09.28,1995,usa,25,4 m [13'] white shark,Sep,n,M,White,25.0
877,1995.09.11,1995,australia,29,White shark,Sep,y,M,White,29.0
878,1995.09.03.b,1995,usa,32,3 m to 4 m [10' to 13'] white shark,Sep,n,M,White,32.0
879,1995.08.26/b,1995,usa,16,5' shark,Aug,n,M,Unspecified,16.0
880,1995.08.26.a,1995,usa,18,"""a small shark""",Aug,n,M,Unspecified,18.0
881,1995.08.25,1995,usa,16,1.2 m to 1.5 m [4' to 5'] shark,Aug,n,M,Unspecified,16.0
882,1995.08.22.c,1995,usa,23,"""sand"" shark",Aug,n,M,Unspecified,23.0
883,1995.08.22.a,1995,usa,19,"""small shark""",Aug,n,M,Unspecified,19.0
884,1995.08.19,1995,tonga,18,"""small shark""",Aug,n,M,Unspecified,18.0
885,1995.08.15,1995,usa,20,1.8 m [6'] shark,Aug,n,M,Unspecified,20.0
886,1995.08.07,1995,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,n,M,Unspecified,12.0
887,1995.06.30,1995,usa,31,6 m [20'] white shark,Jun,n,M,White,31.0
888,1995.06.17.a,1995,usa,45,1.8 m [6'] shark,Jun,n,M,Unspecified,45.0
889,1995.06.16,1995,usa,10,6' shark,Jun,n,F,Unspecified,10.0
