,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
121,2015.07.01,2015,usa,68,6' to 7' shark,Jul,n,M,Unspecified,68.0
122,2015.06.30.a,2015,usa,12,4' to 5' shark,Jun,n,M,Unspecified,12.0
123,2015.06.27.b,2015,usa,18,Bull shark,Jun,n,M,Bull,18.0
124,2015.06.27.a,2015,south africa,19,White shark,Jun,n,M,White,19.0
125,2015.06.26.b,2015,south africa,23,"White shark, 2m to 3 m",Jun,n,M,White,23.0
126,2015.06.26.a,2015,usa,43,4' shark,Jun,n,M,Unspecified,43.0
127,2015.06.24.b,2015,usa,6,Sandtiger shark,Jun,n,M,Tiger,6.0
128,2015.06.24.a,2015,australia,37,White shark,Jun,n,F,White,37.0
129,2015.06.14.b,2015,usa,16,Bull shark,Jun,n,M,Bull,16.0
130,2015.06.14.a,2015,usa,12,Bull shark,Jun,n,F,Bull,12.0
131,2015.06.11,2015,usa,13,4' shark,Jun,n,F,Unspecified,13.0
132,2015.06.07,2015,usa,11,"Bull shark, 5'",Jun,n,M,Bull,11.0
133,2015.06.01,2015,reunion,47,"Bull shark, 2.5 m",Jun,n,M,Bull,47.0
134,2015.05.25,2015,french polynesia,19,1m to 1.2 m shark,May,n,M,Unspecified,19.0
135,2015.05.20,2015,usa,18,5' shark,May2015,n,M,Unspecified,18.0
136,2015.05.02,2015,south africa,29,"White shark, 3.5 m",May,n,M,White,29.0
137,2015.04.26,2015,usa,63,3- to 4-foot shark,Apr,n,M,Unspecified,63.0
138,2015.04.25,2015,australia,26,"White shark, 6 m",Apr,n,M,White,26.0
139,2015.04.24.c,2015,australia,71,"White shark, 3 m",Jun,n,M,White,71.0
140,2015.04.12,2015,reunion,13,Bull shark,Apr,y,M,Bull,13.0
141,2015.04.03,2015,usa,70,Bull shark,Apr,n,M,Bull,70.0
142,2015.03.31,2015,brazil,23,No shark involvement,Mar,,M,Unspecified,23.0
143,2015.03.18,2015,usa,58,"Tiger shark, 8 to 12 feet",Mar,n,M,Tiger,58.0
144,2015.03.16,2015,french polynesia,9,Blacktip shark,Mar,n,M,Unspecified,9.0
