,year,age_limpio
723,2001,20.0
724,2001,26.0
725,2001,21.0
726,2001,42.0
727,2001,6.0
728,2001,28.0
729,2001,23.0
730,2001,20.0
731,2001,10.0
732,2001,44.0
733,2001,17.0
734,2001,20.0
735,2001,19.0
736,2001,19.0
737,2001,43.0
738,2001,18.0
739,2001,8.0
740,2001,52.0
741,2001,29.0
742,2001,45.0
743,2001,12.0
744,2001,21.0
745,2001,12.0
746,2001,22.0
747,2001,19.0
748,2001,46.0
749,2001,26.0
750,2001,40.0
751,2001,40.0
752,2000,47.0
753,2000,38.0
754,2000,25.0
755,2000,52.0
756,2000,49.0
757,2000,27.0
758,2000,56.0
759,2000,17.0
760,2000,23.0
761,2000,17.0
762,2000,25.0
763,2000,31.0
764,2000,25.0
765,2000,48.0
766,2000,40.0
767,2000,27.0
768,2000,47.0
769,2000,25.0
770,2000,53.0
771,2000,27.0
772,2000,44.0
773,2000,12.0
774,2000,55.0
775,2000,13.0
776,2000,19.0
777,2000,17.0
778,2000,55.0
779,2000,44.0
780,2000,26.0
781,2000,14.0
782,2000,37.0
783,2000,35.0
784,2000,39.0
785,1999,39.0
786,1999,51.0
787,1999,39.0
788,1999,16.0
789,1999,37.0
790,1999,28.0
791,1999,23.0
792,1999,10.0
793,1999,62.0
794,1999,35.0
795,1999,42.0
796,1999,43.0
797,1999,43.0
798,1999,14.0
799,1999,30.0
800,1999,29.0
801,1999,21.0
802,1999,5.0
803,1999,22.0
804,1999,21.0
805,1999,41.0
806,1999,52.0
807,1999,29.0
808,1999,35.0
809,1999,25.0
810,1999,30.0
811,1998,18.0
812,1998,9.0
813,1998,14.0
814,1998,13.0
815,1998,22.0
816,1998,26.0
817,1998,16.0
818,1998,28.0
819,1998,24.0
820,1998,16.0
821,1998,26.0
822,1998,20.0
823,1998,15.0
824,1998,16.0
825,1998,40.0
826,1998,14.0
827,1998,22.0
828,1998,35.0
829,1998,50.0
830,1998,33.0
831,1998,32.0
832,1998,31.0
833,1998,23.0
834,1997,39.0
835,1997,42.0
836,1997,19.0
837,1997,23.0
838,1997,12.0
839,1997,29.0
840,1997,17.0
841,1997,19.0
842,1997,25.0
843,1997,50.0
844,1997,47.0
845,1997,18.0
846,1997,33.0
847,1997,35.0
848,1997,34.0
849,1997,12.0
850,1997,30.0
851,1997,27.0
852,1997,41.0
853,1996,45.0
854,1996,22.0
855,1996,21.0
856,1996,31.0
857,1996,23.0
858,1996,19.0
859,1996,28.0
860,1996,29.0
861,1996,19.0
862,1996,36.0
863,1996,21.0
864,1996,63.0
865,1996,17.0
866,1996,22.0
867,1996,27.0
868,1996,47.0
869,1996,24.0
870,1996,7.0
871,1996,53.0
872,1996,25.0
873,1995,15.0
874,1995,39.0
875,1995,14.0
876,1995,25.0
877,1995,29.0
878,1995,32.0
879,1995,16.0
880,1995,18.0
881,1995,16.0
882,1995,23.0
883,1995,19.0
884,1995,18.0
885,1995,20.0
886,1995,12.0
887,1995,31.0
888,1995,45.0
889,1995,10.0
890,1995,38.0
891,1995,29.0
892,1995,47.0
893,1995,35.0
894,1995,22.0
895,1995,14.0
896,1994,26.0
897,1994,42.0
898,1994,34.0
899,1994,9.0
900,1994,43.0
901,1994,12.0
902,1994,24.0
903,1994,22.0
904,1994,31.0
905,1994,15.0
906,1994,30.0
907,1994,28.0
908,1994,22.0
909,1994,23.0
910,1994,15.0
911,1994,33.0
912,1993,27.0
913,1993,26.0
914,1993,26.0
915,1993,34.0
916,1993,36.0
917,1993,25.0
918,1993,51.0
919,1993,19.0
920,1993,39.0
921,1993,28.0
922,1993,12.0
923,1993,22.0
924,1993,31.0
925,1993,34.0
926,1993,60.0
927,1993,35.0
928,1993,55.0
929,1993,25.0
930,1993,21.0
931,1993,29.0
932,1992,10.0
933,1992,30.0
934,1992,31.0
935,1992,19.0
936,1992,46.0
937,1992,40.0
938,1992,18.0
939,1992,40.0
940,1992,28.0
941,1992,28.0
942,1992,20.0
943,1992,17.0
944,1992,22.0
945,1992,42.0
946,1992,16.0
947,1992,35.0
948,1992,36.0
949,1992,41.0
950,1992,21.0
951,1992,19.0
952,1992,19.0
953,1992,19.0
954,1992,36.0
955,1991,25.0
956,1991,41.0
957,1991,21.0
958,1991,32.0
959,1991,19.0
960,1991,36.0
961,1991,23.0
962,1991,10.0
963,1991,40.0
964,1991,30.0
965,1991,32.0
966,1991,31.0
967,1991,65.0
968,1991,23.0
969,1991,22.0
970,1991,38.0
971,1991,20.0
972,1990,24.0
973,1990,50.0
974,1990,25.0
975,1990,43.0
976,1990,19.0
977,1990,26.0
978,1990,49.0
979,1990,44.0
980,1990,22.0
981,1990,21.0
982,1990,22.0
983,1990,23.0
984,1990,31.0
985,1989,29.0
986,1989,17.0
987,1989,12.0
988,1989,49.0
989,1989,29.0
990,1989,51.0
991,1989,38.0
992,1989,30.0
993,1989,21.0
994,1989,17.0
995,1989,34.0
996,1989,16.0
997,1989,28.0
998,1989,27.0
999,1989,47.0
1000,1989,24.0
1001,1989,24.0
1002,1989,17.0
1003,1988,21.0
1004,1988,30.0
1005,1988,23.0
1006,1988,21.0
1007,1988,38.0
1008,1988,27.0
1009,1988,36.0
1010,1988,37.0
1011,1988,25.0
1012,1988,17.0
1013,1988,20.0
1014,1988,15.0
1015,1988,22.0
1016,1988,33.0
1017,1987,16.0
1018,1987,20.0
1019,1987,14.0
1020,1987,21.0
1021,1987,24.0
1022,1987,12.0
1023,1987,40.0
1024,1987,27.0
1025,1987,32.0
1026,1987,16.0
1027,1987,8.0
1028,1987,30.0
1029,1986,21.0
1030,1986,40.0
1031,1986,27.0
1032,1986,6.0
1033,1986,32.0
1034,1986,35.0
1035,1986,26.0
1036,1986,26.0
1037,1986,21.0
1038,1986,46.0
1039,1986,29.0
1040,1986,29.0
1041,1986,22.0
1042,1986,16.0
1043,1985,22.0
1044,1985,46.0
1045,1985,17.0
1046,1985,11.0
1047,1985,25.0
1048,1985,13.0
1049,1985,13.0
1050,1985,33.0
1051,1985,29.0
1052,1985,15.0
1053,1985,18.0
1054,1985,34.0
