,case_number,type,country,species_,date,mes,fatal,sexo,especie_cat,age,year,age_limpio
434,2008.04.18,Invalid,mexico,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",18-Apr-2008,Apr,,M,Unspecified,32.0,2008.0,32.0
435,2008.04.17,Invalid,australia,Shark involvement not confirmed; thought to be a barracuda bite,17-Apr-2008,Apr,,M,Unspecified,19.0,2008.0,19.0
436,2008.04.15,Unprovoked,usa,1.5' to 2' shark,15-Apr-2008,Apr,n,M,Unspecified,30.0,2008.0,30.0
437,2008.04.08,Unprovoked,australia,Bull shark,08-Apr-2008,Apr,y,M,Bull,16.0,2008.0,16.0
438,2008.03.28.b,Unprovoked,usa,4' to 5' shark,28-Mar-2008,Mar,n,M,Unspecified,52.0,2008.0,52.0
439,2008.03.23,Unprovoked,usa,2.5' shark,23-Mar-2008,Mar,n,M,Unspecified,13.0,2008.0,13.0
440,2008.03.15,Unprovoked,usa,Shark involvement not confirmed,15-Mar-2008,Mar,n,M,Unspecified,8.0,2008.0,8.0
441,2008.03.07,Unprovoked,usa,White shark,07-Mar-2008,Mar,n,M,White,27.0,2008.0,27.0
442,2008.02.24,Unprovoked,bahamas,"A bull shark, according to some of the divers on the boat",24-Feb-2008,Feb,y,M,Bull,49.0,2008.0,49.0
443,2008.01.27,Provoked,australia,"Mako shark, 90kg",27-Jan-2008,Jan,n,M,Unspecified,20.0,2008.0,20.0
444,2007.12.18,Unprovoked,australia,2 m shark,18-Dec-2007,Dec,n,M,Unspecified,31.0,2007.0,31.0
445,2007.12.14,Invalid,australia,Not a shark attack; it was a hoax,14-Dec-2007,Dec,,M,Unspecified,34.0,2007.0,34.0
446,2007.12.10,Unprovoked,usa,Tiger shark,10-Dec-2007,Dec,n,M,Tiger,52.0,2007.0,52.0
447,2007.11.07,Unprovoked,south africa,1.5 to 2 m shark,07-Nov-2007,Nov,n,M,Unspecified,14.0,2007.0,14.0
448,2007.11.06,Unprovoked,usa,4' to 5' shark,06-Nov-2007,Nov,n,M,Unspecified,21.0,2007.0,21.0
449,2007.11.04,Unprovoked,usa,5' shark,04-Nov-2007,Nov,n,M,Unspecified,42.0,2007.0,42.0
450,2007.11.03,Unprovoked,south africa,"White shark, 3m to 4m",03-Nov-2007,Nov,n,M,White,37.0,2007.0,37.0
451,2007.10.29,Unprovoked,usa,Tiger shark,29-Oct-2007,Oct,n,M,Tiger,32.0,2007.0,32.0
452,2007.10.15,Unprovoked,australia,"White shark, 2.5m ",15-Oct-2007,Oct,n,F,White,52.0,2007.0,52.0
453,2007.10.13,Unprovoked,australia,Bronze whaler shark,13-Oct-2007,Oct,n,M,Unspecified,31.0,2007.0,31.0
454,2007.10.07,Unprovoked,usa,3' to 4' shark,07-Oct-2007,Oct,n,M,Unspecified,22.0,2007.0,22.0
455,2007.10.06,Unprovoked,usa,"Blacktip shark, 5'",06-Oct-2007,Oct,n,M,Unspecified,16.0,2007.0,16.0
456,2007.09.30.a,Unprovoked,new caledonia,Tiger shark,30-Sep-2007,Sep,y,F,Tiger,23.0,2007.0,23.0
457,2007.09.28,Unprovoked,bahamas,Caribbean reef shark,28-Sep-2007,Sep,n,F,Unspecified,48.0,2007.0,48.0
458,2007.09.27.a,Unprovoked,egypt,Oceanic whitetip sharks were in the vicinity,27-Sep-2007,Sep,n,F,White,18.0,2007.0,18.0
459,2007.09.20,Unprovoked,usa,3' shark,20-Sep-2007,Sep,n,M,Unspecified,23.0,2007.0,23.0
460,2007.09.16.a,Unprovoked,usa,9.5' shark?,16-Sep-2007,Sep,n,F,Unspecified,27.889035667107002,2007.0,26.333333333333332
461,2007.09.13,Unprovoked,usa,"Nurse shark, 2' to 3' ",13-Sep-2007,Sep,n,M,Unspecified,14.0,2007.0,14.0
462,2007.09.03.b,Unprovoked,usa,"18"" to 24"" shark",03-Sep-2007,Sep,n,F,Unspecified,12.0,2007.0,12.0
463,2007.09.03.a,Unprovoked,usa,Possibly a spinner shark,03-Sep-2007,Sep,n,M,Unspecified,58.0,2007.0,58.0
464,2007.08.28.b,Unprovoked,usa,"Tiger shark, 10' to 12' ",28-Aug-2007,Aug,n,M,Tiger,15.0,2007.0,15.0
465,2007.08.28.a,Unprovoked,usa,"White shark, 12'",28-Aug-2007,Aug,n,M,White,24.0,2007.0,24.0
466,2007.08.26,Unprovoked,usa,3' shark,26-Aug-2007,Aug,n,M,Unspecified,54.0,2007.0,54.0
467,2007.08.25,Unprovoked,usa,3' shark,25-Aug-2007,Aug,n,M,Unspecified,27.0,2007.0,27.0
468,2007.08.19.b,Unprovoked,usa,4' to 5' shark,19-Aug-2007,Aug,n,M,Unspecified,16.0,2007.0,16.0
469,2007.08.15,Unprovoked,usa,Possibly a 6' bull shark,15-Aug-2007,Aug,n,M,Bull,20.0,2007.0,20.0
470,2007.08.12,Unprovoked,usa, ,12-Aug-2007,Aug,n,F,Unspecified,15.0,2007.0,15.0
471,2007.08.07,Unprovoked,usa,Possibly a 10' bull shark,07-Aug-2007,Aug,n,F,Bull,19.0,2007.0,19.0
472,2007.07.19.b,Unprovoked,usa, ,19-Jul-2007.b,Jul,n,M,Unspecified,36.0,2007.0,36.0
473,2007.07.19.a,Unprovoked,australia,"Bronze whaler shark, 1.5 m ",19-Jul-2007.a,Jul,n,M,Unspecified,15.0,2007.0,15.0
474,2007.07.18.b,Unprovoked,usa,2' to 3' shark,18-Jul-2007,Jul,n,M,Unspecified,14.0,2007.0,14.0
475,2007.07.17.b,Invalid,usa,Shark involvement not confirmed,17-Jul-2007,Jul,,F,Unspecified,43.0,2007.0,43.0
476,2007.07.17.a,Unprovoked,usa,5' shark,17-Jul-2007,Jul,n,F,Unspecified,30.0,2007.0,30.0
477,2007.07.10,Unprovoked,bahamas,"Bull shark, 5' ",10-Jul-2007,Jul,n,F,Bull,48.0,2007.0,48.0
478,2007.06.25,Unprovoked,usa,4' shark,25-Jun-2007,Jun,n,M,Unspecified,20.0,2007.0,20.0
479,2007.06.17,Invalid,usa,Shark involvement not confirmed,17-Jun-2007,Jun,,F,Unspecified,9.0,2007.0,9.0
480,2007.05.24,Provoked,usa,A 10-year-old 94-pound pregnant blacktip reef shark,24-May-2007,May,n,F,Unspecified,40.0,2007.0,40.0
481,2007.05.17.R,Provoked,england,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",Reported 17-May-2007,ReportedMay,n,M,Unspecified,38.0,2007.0,38.0
482,2007.05.16,Unprovoked,australia,2.5 m shark,16-May-2007,May,n,F,Unspecified,38.0,2007.0,38.0
483,2007.05.12,Unprovoked,australia,10' shark,12-May-2007,May,n,M,Unspecified,19.0,2007.0,19.0
484,2007.05.10,Unprovoked,usa,4' to 5' shark,10-May-2007,May,n,F,Unspecified,21.0,2007.0,21.0
485,2007.05.08,Invalid,australia,Shark involvement prior to death was not confirmed,08-May-2007,May,,M,Unspecified,45.0,2007.0,45.0
486,2007.05.07.b,Unprovoked,usa,"Tiger shark, 14' ",07-May-2007,May,n,F,Tiger,63.0,2007.0,63.0
487,2007.05.07.a,Unprovoked,usa,6' to 8' shark,07-May-2007,May,n,M,Unspecified,25.0,2007.0,25.0
488,2007.04.26,Unprovoked,australia,"""a small shark""",26-Apr-2007,Apr,n,F,Unspecified,13.0,2007.0,13.0
489,2007.04.22,Unprovoked,usa,blacktip or spinner shark,22-Apr-2007,Apr,n,M,Unspecified,12.0,2007.0,12.0
490,2007.04.20,Unprovoked,usa,3' to 4' shark,20-Apr-2007,Apr,n,M,Unspecified,24.0,2007.0,24.0
491,2007.04.09,Unprovoked,new caledonia,Tiger shark,09-Apr-2007,Apr,n,M,Tiger,26.0,2007.0,26.0
492,2007.03.31.b,Unprovoked,usa,3' shark,31-Mar-2007,Mar,n,M,Unspecified,27.0,2007.0,27.0
493,2007.03.21,Unprovoked,usa,4' to 5' shark,21-Mar-2007,Mar,n,M,Unspecified,11.0,2007.0,11.0
494,2007.03.20,Unprovoked,australia,1.5 m shark,20-Mar-2007,Mar,n,F,Unspecified,42.0,2007.0,42.0
495,2007.03.12,Unprovoked,australia,2 to 2.5 m shark,12-Mar-2007,Mar,n,F,Unspecified,59.0,2007.0,59.0
496,2007.01.25.b,Unprovoked,new caledonia,Tiger shark,25-Jan-2007,Jan,n,M,Tiger,30.0,2007.0,30.0
497,2007.01.23,Unprovoked,australia,"White shark, 3m",23-Jan-2007,Jan,n,M,White,41.0,2007.0,41.0
498,2007.01.14,Unprovoked,south africa,Tiger shark,14-Jan-2007,Jan,y,M,Tiger,24.0,2007.0,24.0
499,2007.01.07,Invalid,usa,"24"" to 30"" shark",07-Jan-2007,Jan,,M,Unspecified,54.0,2007.0,54.0
500,2007.01.05,Unprovoked,usa,"6' to 8' shark, possibly a tiger shark",01-Jan-2007,Jan,n,M,Tiger,24.0,2007.0,24.0
501,2006.12.18,Unprovoked,australia,2.5 to 3 m shark,18-Dec-2006,Dec,n,M,Unspecified,25.0,2006.0,25.0
502,2006.12.11,Unprovoked,new zealand,2 to 3 m shark,11-Dec-2006,Dec,n,M,Unspecified,10.0,2006.0,10.0
503,2006.12.10,Unprovoked,usa,"White shark, 12' to 15' ",10-Dec-2006,Dec,n,M,White,43.0,2006.0,43.0
504,2006.12.06,Provoked,south africa,"Raggedtooth shark, 150-kg",06-Dec-2006,Dec,n,M,Unspecified,25.0,2006.0,25.0
505,2006.12.02,Unprovoked,australia,"White shark, 5m ",02-Dec-2006,Dec,n,M,White,15.0,2006.0,15.0
506,2006.11.11,Unprovoked,usa,2 m to 3 m shark,11-Nov-2006,Nov,n,M,Unspecified,29.0,2006.0,29.0
507,2006.10.31,Unprovoked,usa,"White shark, 16' ",31-Oct-2006,Oct,n,M,White,22.0,2006.0,22.0
508,2006.10.05,Unprovoked,usa,3' to 3.5' shark,05-Oct-2006,Oct,n,M,Unspecified,18.0,2006.0,18.0
509,2006.09.14,Unprovoked,usa,Spinner shark,14-Sep-2006,Sep,n,M,Unspecified,55.0,2006.0,55.0
510,2006.09.04,Invalid,australia,No shark involvement,04-Sep-2006,Sep,,M,Unspecified,44.0,2006.0,44.0
511,2006.09.03.a,Unprovoked,usa,3' shark,03-Sep-2006,Sep,n,M,Unspecified,33.0,2006.0,33.0
512,2006.08.13,Unprovoked,south africa,White shark,13-Aug-2006,Aug,n,M,White,24.0,2006.0,24.0
513,2006.07.31.a,Unprovoked,usa,White shark?,31-Jul-2006,Jul,n,M,White,41.0,2006.0,41.0
514,2006.07.28,Unprovoked,south africa,"White shark, 3m to 4m",28-Jul-2006,Jul,n,M,White,19.0,2006.0,19.0
515,2006.07.25,Unprovoked,usa, ,25-Jul-2006,Jul,n,M,Unspecified,14.0,2006.0,14.0
516,2006.07.17,Unprovoked,usa,"Angel shark, 1.2m ",17-Jul-2006,Jul,n,M,Unspecified,49.0,2006.0,49.0
517,2006.07.08.b,Unprovoked,usa,5' to 6' spinner or bull shark,08-Jul-2006,Jul,n,F,Bull,14.0,2006.0,14.0
518,2006.06.20,Unprovoked,usa,Possibly a 1' to 3' blacktip or spinner shark,20-Jun-2006,Jun,n,F,Unspecified,22.0,2006.0,22.0
519,2006.06.15,Unprovoked,usa,2' to 3' shark,15-Jun-2006,Jun,n,M,Unspecified,24.0,2006.0,24.0
520,2006.06.07,Unprovoked,usa,3' to 4' shark,07-Jun-2006,Jun,n,F,Unspecified,7.0,2006.0,7.0
521,2006.06.05,Unprovoked,australia,14' white shark,05-Jun-2006,Jun,n,M,White,40.0,2006.0,40.0
522,2006.05.31,Unprovoked,usa,"Tiger shark, 8' to 12'",31-May-2006,May,n,M,Tiger,26.0,2006.0,26.0
523,2006.05.24,Provoked,usa,"Grey reef shark, 5' to 8' ",24-May-2006,May,n,M,Grey,15.0,2006.0,15.0
524,2006.05.19,Unprovoked,usa,"Tiger shark, 10' to 12'",19-May-2006,May,n,F,Tiger,30.0,2006.0,30.0
525,2006.05.02,Provoked,australia,"Wobbegong shark, 2 m ",02-May-2006,May,n,M,Unspecified,46.0,2006.0,46.0
526,2006.04.13,Provoked,usa,"Bull shark, 4' to bull shark",13-Apr-2006,Apr,n,M,Bull,35.0,2006.0,35.0
527,2006.04.11,Unprovoked,australia,"Bronze whaler shark, a  juvenile ",11-Apr-2006,Apr,n,M,Unspecified,15.0,2006.0,15.0
528,2006.04.09.b,Unprovoked,south africa,"Raggedtooth shark, 2.5 m to 3 m ",09-Apr-2006,Apr,n,M,Unspecified,15.0,2006.0,15.0
529,2006.04.09.a,Unprovoked,brazil,Tiger shark,09-Apr-2006,Apr,n,M,Tiger,35.0,2006.0,35.0
530,2006.03.23,Unprovoked,usa,"Tiger shark, 10'  ",23-Mar-2006,Mar,n,F,Tiger,28.0,2006.0,28.0
531,2006.03.19,Unprovoked,fiji,"Tiger shark, 5' ",18-Mar-2006,Mar,n,M,Tiger,21.0,2006.0,21.0
532,2006.03.15,Unprovoked,australia,"Bronze whaler shark, 2 m",15-Mar-2006,Mar,n,M,Unspecified,15.0,2006.0,15.0
533,2006.02.27,Unprovoked,usa,5' to 7' shark,27-Feb-2006,Feb,n,F,Unspecified,15.0,2006.0,15.0
534,2006.02.23,Invalid,usa,Invalid,23-Feb-2006,Feb,,M,Unspecified,45.0,2006.0,45.0
535,2006.02.08,Unprovoked,south africa,Raggedtooth shark,08-Feb-2006,Feb,n,M,Unspecified,15.0,2006.0,15.0
536,2006.02.01.b,Unprovoked,tonga,Tiger shark,01-Feb-2006,Feb,y,F,Tiger,24.0,2006.0,24.0
537,2006.02.01.a,Boating,usa,12' to 18' shark,01-Feb-2006,Feb,n,M,Unspecified,57.0,2006.0,57.0
538,2006.01.15,Unprovoked,australia,3.5 m white shark,15-Jan-2006,Jan,n,M,White,52.0,2006.0,52.0
539,2006.01.07,Unprovoked,australia,Bull shark,07-Jan-2006,Jan,y,F,Bull,21.0,2006.0,21.0
540,2006.01.04,Unprovoked,usa,4' shark,04-Jan-2006,Jan,n,M,Unspecified,21.0,2006.0,21.0
541,2005.12.24,Unprovoked,usa,White shark,24-Dec-2005,Dec,n,M,White,30.0,2005.0,30.0
542,2005.12.21,Unprovoked,usa,Tiger shark,21-Dec-2005,Dec,n,M,Tiger,29.0,2005.0,29.0
543,2005.12.11,Unprovoked,australia,Whitetip reef shark,11-Dec-2005,Dec,n,M,White,44.0,2005.0,44.0
544,2005.11.27,Unprovoked,usa,4' shark,27-Nov-2005,Nov,n,M,Unspecified,23.0,2005.0,23.0
545,2005.11.25.b,Unprovoked,australia,1.8 m shark,25-Nov-2005,Nov,n,M,Unspecified,18.0,2005.0,18.0
546,2005.11.21,Unprovoked,usa,4' shark,21-Nov-2005,Nov,n,M,Unspecified,30.0,2005.0,30.0
547,2005.11.15,Provoked,south africa,"Raggedtooth shark, 2.5m ",15-Nov-2005,Nov,n,M,Unspecified,32.0,2005.0,32.0
548,2005.11.12,Unprovoked,usa,6' shark,12-Nov-2005,Nov,n,M,Unspecified,18.0,2005.0,18.0
549,2005.11.02.a,Unprovoked,usa,12' to 14' white shark,02-Nov-2005,Nov,n,M,White,26.0,2005.0,26.0
550,2005.10.25,Unprovoked,st. maartin,2' shark,25-Oct-2005,Oct,n,M,Unspecified,55.0,2005.0,55.0
551,2005.10.22,Unprovoked,south africa,3 m shark,22-Oct-2005,Oct,n,M,Unspecified,20.0,2005.0,20.0
552,2005.10.21,Unprovoked,usa,White shark,21-Oct-2005,Oct,n,M,White,36.0,2005.0,36.0
553,2005.10.19,Unprovoked,usa,18' white shark,19-Oct-2005,Oct,n,F,White,20.0,2005.0,20.0
554,2005.10.13,Unprovoked,usa,"Tiger shark, less than 10'",13-Oct-2005,Oct,n,M,Tiger,22.0,2005.0,22.0
555,2005.10.11,Unprovoked,grand cayman,Caribbean reef sharks,11-Oct-2005,Oct,n,F,Unspecified,57.0,2005.0,57.0
556,2005.10.01,Unprovoked,south africa,White shark,01-Oct-2005,Oct,n,M,White,52.0,2005.0,52.0
557,2005.09.24,Unprovoked,australia,14' to 16' white shark,24-Sep-2005,Sep,n,M,White,26.0,2005.0,26.0
558,2005.09.23,Unprovoked,australia,Bronze whaler shark,23-Sep-2005,Sep,n,M,Unspecified,44.0,2005.0,44.0
559,2005.09.20,Unprovoked,usa,3' to 4' shark,20-Sep-2005,Sep,n,F,Unspecified,25.0,2005.0,25.0
560,2005.09.05,Unprovoked,usa,Bull shark,05-Sep-2005,Sep,n,F,Bull,18.0,2005.0,18.0
561,2005.09.04.a,Unprovoked,australia,4 m [13'] white shark,04-Sep-2005,Sep,n,M,White,40.0,2005.0,40.0
562,2005.08.24.b,Unprovoked,australia,White shark,24-Aug-2005,Aug,y,M,White,23.0,2005.0,23.0
563,2005.08.24.a,Unprovoked,usa,juvenile white shark,24-Aug-2005,Aug,n,M,White,37.0,2005.0,37.0
564,2005.08.22,Invalid,usa,Shark involvement not confirmed,22-Aug-2005,Aug,,M,Unspecified,17.0,2005.0,17.0
565,2005.08.21,Unprovoked,usa,Possibly a sandbar shark or small blacktip shark,21-Aug-2005,Aug,n,M,Unspecified,8.0,2005.0,8.0
566,2005.08.12,Unprovoked,usa,1.8 m [6'] shark,12-Aug-2005,Aug,n,M,Unspecified,16.0,2005.0,16.0
567,2005.07.22,Invalid,usa,Shark involvement not confirmed,22-Jul-2005,Jul,,M,Unspecified,25.0,2005.0,25.0
568,2005.07.15,Unprovoked,usa,[4.5' to 5'] shark,15-Jul-2005,Jul,n,M,Unspecified,22.0,2005.0,22.0
569,2005.07.13,Unprovoked,usa,[4' to 5'],13-Jul-2005,Jul,n,F,Unspecified,14.0,2005.0,14.0
570,2005.06.27,Unprovoked,usa,Bull shark,27-Jun-2005,Jun,n,M,Bull,16.0,2005.0,16.0
571,2005.06.25,Unprovoked,usa,1.8 m [6'] bull shark,25-Jun-2005,Jun,y,F,Bull,14.0,2005.0,14.0
572,2005.06.22,Unprovoked,vanuatu,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",22-Jun-2005,Jun,y,F,Unspecified,7.0,2005.0,7.0
573,2005.06.18,Invalid,usa,Invalid,18-Jun-2005,Jun,,M,Unspecified,49.0,2005.0,49.0
574,2005.06.16,Unprovoked,usa,"Unknown, but it was reported that a shark tooth was recovered from the wound",16-Jun-2005,Jun,n,M,Unspecified,20.0,2005.0,20.0
575,2005.06.05,Invalid,usa,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",05-Jun-2005,Jun,,M,White,17.0,2005.0,17.0
576,2005.06.04,Unprovoked,south africa,White shark,04-Jun-2005,Jun,y,M,White,22.0,2005.0,22.0
577,2005.05.28,Unprovoked,usa,"""small shark""",28-May-2005,May,n,M,Unspecified,33.0,2005.0,33.0
578,2005.05.25,Unprovoked,south africa,Raggedtooth shark,25-May-2005,May,n,M,Unspecified,32.0,2005.0,32.0
579,2005.05.02,Unprovoked,usa,"Tiger shark, 3 m [10']",02-May-2005,May,n,M,Tiger,47.0,2005.0,47.0
580,2005.04.25,Provoked,australia,"Mako shark, 1.5 m [5'] ",25-Apr-2005,Apr,n,M,Unspecified,25.0,2005.0,25.0
581,2005.04.16.a,Unprovoked,australia,Bronze whaler shark,16-Apr-2005,Apr,n,M,Unspecified,40.0,2005.0,40.0
582,2005.03.28,Unprovoked,south africa,4 m [13'] shark,28-Mar-2005,Mar,n,M,Unspecified,32.0,2005.0,32.0
583,2005.03.19,Unprovoked,australia,6 m [20'] white shark,19-Mar-2005,Mar,y,M,White,26.0,2005.0,26.0
584,2005.03.12,Provoked,usa,"Sandtiger shark, 2.1 m [7'] ",12-Mar-2005,Mar,n,M,Tiger,45.0,2005.0,45.0
585,2005.01.08,Boating,new zealand,White shark,08-Jan-2005,Jan,n,M,White,39.0,2005.0,39.0
586,2004.12.16,Unprovoked,australia,4.5 m & 5 m white shark ,16-Dec-2004,Dec,y,M,White,18.0,2004.0,18.0
587,2004.12.11,Unprovoked,australia,Bull shark,11-Dec-2004,Dec,y,M,Bull,38.0,2004.0,38.0
588,2004.11.27,Unprovoked,south africa,Raggedtooth shark,27-Nov-2004,Nov,n,M,Unspecified,20.0,2004.0,20.0
589,2004.11.15,Unprovoked,south africa,6 m [20'] white shark,15-Nov-2004,Nov,y,F,White,25.0,2004.0,25.0
590,2004.11.11.b,Unprovoked,usa,5.5 m [18'] white shark,11-Nov-2004,Nov,n,F,White,38.0,2004.0,38.0
591,2004.10.31,Unprovoked,cuba,2.5 m [8.25'] bull shark,31-Oct-2004,Oct,n,M,Bull,40.0,2004.0,40.0
592,2004.10.30.a,Unprovoked,south africa,2 m [6.75'] white shark,30-Oct-2004,Oct,n,M,White,52.0,2004.0,52.0
593,2004.10.21,Unprovoked,australia,"Bronze whaler shark, 2.4 m [8'] ",21-Oct-2004,Oct,n,M,Unspecified,59.0,2004.0,59.0
594,2004.10.09.b,Unprovoked,usa,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",09-Oct-2004,Oct,n,M,Tiger,34.0,2004.0,34.0
595,2004.10.09.a,Unprovoked,south africa,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",09-Oct-2004,Oct,n,M,Unspecified,34.0,2004.0,34.0
596,2004.10.06,Unprovoked,reunion,Thought to involve a 2.5 m bull or tiger shark,06-Oct-2004,Oct,n,M,Tiger,15.0,2004.0,15.0
597,2004.09.20,Unprovoked,usa,White shark,20-Sep-2004,Sep,n,M,White,26.0,2004.0,26.0
598,2004.09.04,Unprovoked,usa,2.4 m [8'] shark,04-Sep-2004,Sep,n,F,Unspecified,17.0,2004.0,17.0
599,2004.08.21,Unprovoked,brazil,"Tiger shark, 1.5 m ",21-Aug-2004,Aug,n,M,Tiger,24.0,2004.0,24.0
600,2004.08.15,Unprovoked,usa,4.9 m to 5.5 m [16' to 18'] white shark,15-Aug-2004,Aug,y,M,White,50.0,2004.0,50.0
601,2004.08.06,Unprovoked,usa,1.2 m [4'] shark,06-Aug-2004,Aug,n,M,Unspecified,47.0,2004.0,47.0
602,2004.07.27.b,Unprovoked,usa,1.8 m [6'] shark,27-Jul-2004,Jul,n,F,Unspecified,13.0,2004.0,13.0
603,2004.07.27.a,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,27-Jul-2004,Jul,n,F,Unspecified,19.0,2004.0,19.0
604,2004.07.25,Unprovoked,usa,Bull shark,25-Jul-2004,Jul,n,M,Bull,11.0,2004.0,11.0
605,2004.07.10,Unprovoked,australia,"2 sharks, 4.5 m & 3 m ",10-Jul-2004,Jul,y,M,Unspecified,30.0,2004.0,30.0
606,2004.07.02.a,Unprovoked,usa,4' to 5' shark,02-Jul-2004,Jul,n,M,Unspecified,7.0,2004.0,7.0
607,2004.06.26.b,Unprovoked,usa,"9'2"" white shark",26-Jun-2004,Jun,n,M,White,45.0,2004.0,45.0
608,2004.06.10.b,Unprovoked,australia,"Bronze whaler shark, 2.5 m [8.25'] ",10-Jun-2004,Jun,n,M,Unspecified,17.0,2004.0,17.0
609,2004.06.10.a,Unprovoked,usa,1.2 m [4'] shark,10-Jun-2004,Jun,n,M,Unspecified,8.0,2004.0,8.0
610,2004.06.02,Unprovoked,south africa,White shark,02-Jun-2004,Jun,y,M,White,21.0,2004.0,21.0
611,2004.05.29,Unprovoked,usa,0.9 m to 1.5 m [3' to 5'] shark,29-May-2004,May,n,M,Unspecified,16.0,2004.0,16.0
612,2004.05.23.b,Unprovoked,brazil,Bull shark,23-May-2004,May,n,M,Bull,17.0,2004.0,17.0
613,2004.05.28,Unprovoked,usa,2.4 m to 3.7 m [8' to 12'] shark,28-May-2004,May,n,M,Unspecified,44.0,2004.0,44.0
614,2004.05.18,Provoked,bahamas,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",18-May-2004,May,n,M,Unspecified,63.0,2004.0,63.0
615,2004.05.04,Unprovoked,usa,"Mako shark, 1.8 m [6']",04-May-2004,May,n,M,Unspecified,28.0,2004.0,28.0
616,2004.04.07,Unprovoked,usa,Tiger shark,07-Apr-2004,Apr,y,M,Tiger,57.0,2004.0,57.0
617,2004.04.05,Unprovoked,south africa,5 m [16.5'] white shark,05-Apr-2004,Apr,n,M,White,16.0,2004.0,16.0
618,2004.03.31.a,Unprovoked,usa,1.2 m [4'] bull shark,31-Mar-2004,Mar,n,M,Bull,20.0,2004.0,20.0
619,2004.03.29,Unprovoked,brazil,bull shark,29-Mar-2004,Mar,n,M,Bull,22.0,2004.0,22.0
620,2004.03.27.b,Unprovoked,reunion,2.5 m shark,27-Mar-2004,Mar,n,M,Unspecified,20.0,2004.0,20.0
621,2004.03.16,Unprovoked,usa,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",16-Mar-2004,Mar,n,M,Tiger,51.0,2004.0,51.0
622,2004.02.26,Unprovoked,new zealand,2 m [6.75'] sevengill  shark,26-Feb-2004,Feb,n,M,Unspecified,15.0,2004.0,15.0
623,2004.02.16,Invalid,australia,Shark involvement not confirmed,16-Feb-2004,Feb,,M,Unspecified,31.0,2004.0,31.0
624,2004.01.25,Unprovoked,australia,4 m to 5 m [13' to 16.5'] white shark,25-Jan-2004,Jan,n,M,White,46.0,2004.0,46.0
625,2004.01.21.a,Unprovoked,venezuela,"Bull shark, 132-kg [291-lb] ",21-Jan-2004,Jan,n,M,Bull,40.0,2004.0,40.0
626,2003.11.27,Unprovoked,south africa,"Tiger shark, 4 m [13']  ?",27-Nov-2003,Nov,y,M,Tiger,21.0,2003.0,21.0
627,2003.11.22,Unprovoked,usa,4' shark,22-Nov-2003,Nov,n,F,Unspecified,35.0,2003.0,35.0
628,2003.10.31.c,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,31-Oct-2003,Oct,n,M,Unspecified,18.0,2003.0,18.0
629,2003.10.31.b,Unprovoked,australia,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",31-Oct-2003,Oct,n,M,Grey,22.0,2003.0,22.0
630,2003.10.31.a,Unprovoked,usa,"Tiger shark, 14' ",31-Oct-2003,Oct,n,F,Tiger,13.0,2003.0,13.0
631,2003.10.24,Invalid,usa,Shark involvement not confirmed,24-Oct-2003,Oct,,M,Unspecified,56.0,2003.0,56.0
632,2003.10.14,Unprovoked,usa,1.2 m [4'] shark,14-Oct-2003,Oct,n,M,Unspecified,19.0,2003.0,19.0
633,2003.10.05.a,Unprovoked,usa,"1.2 m [4'] ""grey-colored shark""",05-Oct-2003,Oct,n,F,Grey,41.0,2003.0,41.0
634,2003.09.14.c,Unprovoked,usa,3' shark,14-Sep-2003,Sep,n,M,Unspecified,30.0,2003.0,30.0
635,2003.09.14.a,Invalid,usa,Shark involvement doubtful,14-Sep-2003,Sep,,F,Unspecified,8.0,2003.0,8.0
636,2003.09.13.b,Unprovoked,usa,6' shark,13-Sep-2003,Sep,n,M,Unspecified,18.0,2003.0,18.0
637,2003.09.13.a,Unprovoked,usa,7' shark,13-Sep-2003,Sep,n,M,Unspecified,15.0,2003.0,15.0
638,2003.09.12,Unprovoked,south africa,White shark,12-Sep-2003,Sep,y,M,White,19.0,2003.0,19.0
639,2003.08.19,Unprovoked,usa,4.5 m to 5.5 m [15' to 18'] white shark,19-Aug-2003,Aug,y,F,White,50.0,2003.0,50.0
640,2003.08.12,Invalid,usa,Shark involvement not confirmed,12-Aug-2003,Aug,,M,Unspecified,31.0,2003.0,31.0
641,2003.08.08,Unprovoked,south africa,3.5 m [11.5'] white shark,08-Aug-2003,Aug,n,M,White,16.0,2003.0,16.0
642,2003.07.09,Unprovoked,bahamas,Unidentified species,10-Jul-2003,Jul,n,M,Unspecified,58.0,2003.0,58.0
