,case_number,year,type,country,age,species_,date,mes,fatal,sexo
539,2006.01.07,2006,Unprovoked,australia,21,Bull shark,07-Jan-2006,Jan,y,F
540,2006.01.04,2006,Unprovoked,usa,21,4' shark,04-Jan-2006,Jan,n,M
541,2005.12.24,2005,Unprovoked,usa,30,White shark,24-Dec-2005,Dec,n,M
542,2005.12.21,2005,Unprovoked,usa,29,Tiger shark,21-Dec-2005,Dec,n,M
543,2005.12.11,2005,Unprovoked,australia,44,Whitetip reef shark,11-Dec-2005,Dec,n,M
544,2005.11.27,2005,Unprovoked,usa,23,4' shark,27-Nov-2005,Nov,n,M
545,2005.11.25.b,2005,Unprovoked,australia,18,1.8 m shark,25-Nov-2005,Nov,n,M
546,2005.11.21,2005,Unprovoked,usa,30s,4' shark,21-Nov-2005,Nov,n,M
547,2005.11.15,2005,Provoked,south africa,32,"Raggedtooth shark, 2.5m ",15-Nov-2005,Nov,n,M
548,2005.11.12,2005,Unprovoked,usa,18,6' shark,12-Nov-2005,Nov,n,M
549,2005.11.02.a,2005,Unprovoked,usa,26,12' to 14' white shark,02-Nov-2005,Nov,n,M
550,2005.10.25,2005,Unprovoked,st. maartin,55,2' shark,25-Oct-2005,Oct,n,M
551,2005.10.22,2005,Unprovoked,south africa,20,3 m shark,22-Oct-2005,Oct,n,M
552,2005.10.21,2005,Unprovoked,usa,36,White shark,21-Oct-2005,Oct,n,M
553,2005.10.19,2005,Unprovoked,usa,20,18' white shark,19-Oct-2005,Oct,n,F
554,2005.10.13,2005,Unprovoked,usa,22,"Tiger shark, less than 10'",13-Oct-2005,Oct,n,M
555,2005.10.11,2005,Unprovoked,grand cayman,57,Caribbean reef sharks,11-Oct-2005,Oct,n,F
556,2005.10.01,2005,Unprovoked,south africa,52,White shark,01-Oct-2005,Oct,n,M
557,2005.09.24,2005,Unprovoked,australia,26,14' to 16' white shark,24-Sep-2005,Sep,n,M
558,2005.09.23,2005,Unprovoked,australia,44,Bronze whaler shark,23-Sep-2005,Sep,n,M
559,2005.09.20,2005,Unprovoked,usa,68,3' to 4' shark,20-Sep-2005,Sep,n,F
560,2005.09.05,2005,Unprovoked,usa,18,Bull shark,05-Sep-2005,Sep,n,F
561,2005.09.04.a,2005,Unprovoked,australia,40,4 m [13'] white shark,04-Sep-2005,Sep,n,M
562,2005.08.24.b,2005,Unprovoked,australia,23,White shark,24-Aug-2005,Aug,y,M
563,2005.08.24.a,2005,Unprovoked,usa,37,juvenile white shark,24-Aug-2005,Aug,n,M
564,2005.08.22,2005,Invalid,usa,17,Shark involvement not confirmed,22-Aug-2005,Aug,,M
565,2005.08.21,2005,Unprovoked,usa,8,Possibly a sandbar shark or small blacktip shark,21-Aug-2005,Aug,n,M
566,2005.08.12,2005,Unprovoked,usa,16,1.8 m [6'] shark,12-Aug-2005,Aug,n,M
567,2005.07.22,2005,Invalid,usa,25,Shark involvement not confirmed,22-Jul-2005,Jul,,M
568,2005.07.15,2005,Unprovoked,usa,22,[4.5' to 5'] shark,15-Jul-2005,Jul,n,M
569,2005.07.13,2005,Unprovoked,usa,14,[4' to 5'],13-Jul-2005,Jul,n,F
570,2005.06.27,2005,Unprovoked,usa,16,Bull shark,27-Jun-2005,Jun,n,M
571,2005.06.25,2005,Unprovoked,usa,14,1.8 m [6'] bull shark,25-Jun-2005,Jun,y,F
572,2005.06.22,2005,Unprovoked,vanuatu,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",22-Jun-2005,Jun,y,F
573,2005.06.18,2005,Invalid,usa,49,Invalid,18-Jun-2005,Jun,,M
574,2005.06.16,2005,Unprovoked,usa,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",16-Jun-2005,Jun,n,M
575,2005.06.05,2005,Invalid,usa,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",05-Jun-2005,Jun,,M
576,2005.06.04,2005,Unprovoked,south africa,22,White shark,04-Jun-2005,Jun,y,M
577,2005.05.28,2005,Unprovoked,usa,33,"""small shark""",28-May-2005,May,n,M
578,2005.05.25,2005,Unprovoked,south africa,32,Raggedtooth shark,25-May-2005,May,n,M
579,2005.05.02,2005,Unprovoked,usa,47,"Tiger shark, 3 m [10']",02-May-2005,May,n,M
580,2005.04.25,2005,Provoked,australia,25,"Mako shark, 1.5 m [5'] ",25-Apr-2005,Apr,n,M
581,2005.04.16.a,2005,Unprovoked,australia,40,Bronze whaler shark,16-Apr-2005,Apr,n,M
582,2005.03.28,2005,Unprovoked,south africa,32,4 m [13'] shark,28-Mar-2005,Mar,n,M
583,2005.03.19,2005,Unprovoked,australia,26,6 m [20'] white shark,19-Mar-2005,Mar,y,M
584,2005.03.12,2005,Provoked,usa,45,"Sandtiger shark, 2.1 m [7'] ",12-Mar-2005,Mar,n,M
585,2005.01.08,2005,Boating,new zealand,39,White shark,08-Jan-2005,Jan,n,M
586,2004.12.16,2004,Unprovoked,australia,18,4.5 m & 5 m white shark ,16-Dec-2004,Dec,y,M
587,2004.12.11,2004,Unprovoked,australia,38,Bull shark,11-Dec-2004,Dec,y,M
588,2004.11.27,2004,Unprovoked,south africa,20,Raggedtooth shark,27-Nov-2004,Nov,n,M
589,2004.11.15,2004,Unprovoked,south africa,77,6 m [20'] white shark,15-Nov-2004,Nov,y,F
590,2004.11.11.b,2004,Unprovoked,usa,38,5.5 m [18'] white shark,11-Nov-2004,Nov,n,F
591,2004.10.31,2004,Unprovoked,cuba,40,2.5 m [8.25'] bull shark,31-Oct-2004,Oct,n,M
592,2004.10.30.a,2004,Unprovoked,south africa,52,2 m [6.75'] white shark,30-Oct-2004,Oct,n,M
593,2004.10.21,2004,Unprovoked,australia,59,"Bronze whaler shark, 2.4 m [8'] ",21-Oct-2004,Oct,n,M
594,2004.10.09.b,2004,Unprovoked,usa,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",09-Oct-2004,Oct,n,M
595,2004.10.09.a,2004,Unprovoked,south africa,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",09-Oct-2004,Oct,n,M
596,2004.10.06,2004,Unprovoked,reunion,15,Thought to involve a 2.5 m bull or tiger shark,06-Oct-2004,Oct,n,M
597,2004.09.20,2004,Unprovoked,usa,26,White shark,20-Sep-2004,Sep,n,M
598,2004.09.04,2004,Unprovoked,usa,17,2.4 m [8'] shark,04-Sep-2004,Sep,n,F
599,2004.08.21,2004,Unprovoked,brazil,24,"Tiger shark, 1.5 m ",21-Aug-2004,Aug,n,M
600,2004.08.15,2004,Unprovoked,usa,50,4.9 m to 5.5 m [16' to 18'] white shark,15-Aug-2004,Aug,y,M
601,2004.08.06,2004,Unprovoked,usa,47,1.2 m [4'] shark,06-Aug-2004,Aug,n,M
602,2004.07.27.b,2004,Unprovoked,usa,13,1.8 m [6'] shark,27-Jul-2004,Jul,n,F
603,2004.07.27.a,2004,Unprovoked,usa,19,1.2 m to 1.5 m [4' to 5'] shark,27-Jul-2004,Jul,n,F
604,2004.07.25,2004,Unprovoked,usa,11,Bull shark,25-Jul-2004,Jul,n,M
605,2004.07.10,2004,Unprovoked,australia,30,"2 sharks, 4.5 m & 3 m ",10-Jul-2004,Jul,y,M
606,2004.07.02.a,2004,Unprovoked,usa,7,4' to 5' shark,02-Jul-2004,Jul,n,M
607,2004.06.26.b,2004,Unprovoked,usa,45,"9'2"" white shark",26-Jun-2004,Jun,n,M
608,2004.06.10.b,2004,Unprovoked,australia,17,"Bronze whaler shark, 2.5 m [8.25'] ",10-Jun-2004,Jun,n,M
609,2004.06.10.a,2004,Unprovoked,usa,8,1.2 m [4'] shark,10-Jun-2004,Jun,n,M
610,2004.06.02,2004,Unprovoked,south africa,21,White shark,02-Jun-2004,Jun,y,M
611,2004.05.29,2004,Unprovoked,usa,16,0.9 m to 1.5 m [3' to 5'] shark,29-May-2004,May,n,M
612,2004.05.23.b,2004,Unprovoked,brazil,17,Bull shark,23-May-2004,May,n,M
613,2004.05.28,2004,Unprovoked,usa,44,2.4 m to 3.7 m [8' to 12'] shark,28-May-2004,May,n,M
614,2004.05.18,2004,Provoked,bahamas,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",18-May-2004,May,n,M
615,2004.05.04,2004,Unprovoked,usa,28,"Mako shark, 1.8 m [6']",04-May-2004,May,n,M
616,2004.04.07,2004,Unprovoked,usa,57,Tiger shark,07-Apr-2004,Apr,y,M
617,2004.04.05,2004,Unprovoked,south africa,16,5 m [16.5'] white shark,05-Apr-2004,Apr,n,M
618,2004.03.31.a,2004,Unprovoked,usa,20,1.2 m [4'] bull shark,31-Mar-2004,Mar,n,M
619,2004.03.29,2004,Unprovoked,brazil,22,bull shark,29-Mar-2004,Mar,n,M
620,2004.03.27.b,2004,Unprovoked,reunion,20,2.5 m shark,27-Mar-2004,Mar,n,M
621,2004.03.16,2004,Unprovoked,usa,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",16-Mar-2004,Mar,n,M
622,2004.02.26,2004,Unprovoked,new zealand,15,2 m [6.75'] sevengill  shark,26-Feb-2004,Feb,n,M
623,2004.02.16,2004,Invalid,australia,31,Shark involvement not confirmed,16-Feb-2004,Feb,,M
624,2004.01.25,2004,Unprovoked,australia,46,4 m to 5 m [13' to 16.5'] white shark,25-Jan-2004,Jan,n,M
625,2004.01.21.a,2004,Unprovoked,venezuela,40,"Bull shark, 132-kg [291-lb] ",21-Jan-2004,Jan,n,M
626,2003.11.27,2003,Unprovoked,south africa,21,"Tiger shark, 4 m [13']  ?",27-Nov-2003,Nov,y,M
627,2003.11.22,2003,Unprovoked,usa,35,4' shark,22-Nov-2003,Nov,n,F
628,2003.10.31.c,2003,Unprovoked,usa,18,1.2 m to 1.5 m [4' to 5'] shark,31-Oct-2003,Oct,n,M
629,2003.10.31.b,2003,Unprovoked,australia,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",31-Oct-2003,Oct,n,M
630,2003.10.31.a,2003,Unprovoked,usa,13,"Tiger shark, 14' ",31-Oct-2003,Oct,n,F
631,2003.10.24,2003,Invalid,usa,56,Shark involvement not confirmed,24-Oct-2003,Oct,,M
632,2003.10.14,2003,Unprovoked,usa,19,1.2 m [4'] shark,14-Oct-2003,Oct,n,M
633,2003.10.05.a,2003,Unprovoked,usa,41,"1.2 m [4'] ""grey-colored shark""",05-Oct-2003,Oct,n,F
634,2003.09.14.c,2003,Unprovoked,usa,30,3' shark,14-Sep-2003,Sep,n,M
635,2003.09.14.a,2003,Invalid,usa,8 or 10,Shark involvement doubtful,14-Sep-2003,Sep,,F
636,2003.09.13.b,2003,Unprovoked,usa,18,6' shark,13-Sep-2003,Sep,n,M
637,2003.09.13.a,2003,Unprovoked,usa,15,7' shark,13-Sep-2003,Sep,n,M
638,2003.09.12,2003,Unprovoked,south africa,19,White shark,12-Sep-2003,Sep,y,M
639,2003.08.19,2003,Unprovoked,usa,50,4.5 m to 5.5 m [15' to 18'] white shark,19-Aug-2003,Aug,y,F
640,2003.08.12,2003,Invalid,usa,31,Shark involvement not confirmed,12-Aug-2003,Aug,,M
641,2003.08.08,2003,Unprovoked,south africa,16,3.5 m [11.5'] white shark,08-Aug-2003,Aug,n,M
642,2003.07.09,2003,Unprovoked,bahamas,58,Unidentified species,10-Jul-2003,Jul,n,M
643,2003.07.05.b,2003,Provoked,usa,10,2' shark,05-Jul-2003,Jul,n,M
644,2003.07.04,2003,Unprovoked,bahamas,39,2.1 m  [7'] bull shark,04-Jul-2003,Jul,n,M
645,2003.06.30,2003,Unprovoked,usa,17,Unidentified species,30-Jun-2003,Jun,n,M
646,2003.06.26,2003,Unprovoked,usa,15,106 cm [3.5']  shark,26-Jun-2003,Jun,n,M
647,2003.06.24.b,2003,Unprovoked,usa,12,small brown shark,24-Jun-2003,Jun,n,F
648,2003.06.24.a,2003,Unprovoked,usa,60,3.7 m to 4.3 m [12' to 14'] shark,24-Jun-2003,Jun,n,M
649,2003.06.19,2003,Unprovoked,usa,33,"""sand shark""",19-Jun-2003,Jun,n,M
650,2003.05.14,2003,Unprovoked,usa,22,3' to 5' shark,14-May-2003,May,n,M
651,2003.05.10,2003,Unprovoked,usa,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,10-May-2003,May,n,M
652,2003.05.07,2003,Provoked,usa,34,4' to 5' shark,07-May-2003,May,n,M
653,2003.04.23.b,2003,Unprovoked,brazil,17,Bull shark,23-Apr-2003,Apr,n,M
654,2003.04.21.b,2003,Unprovoked,usa,36,Unidentified species,21-Apr-2003,Apr,n,M
655,2003.04.21.a,2003,Unprovoked,usa,17,Unidentified species,21-Apr-2003,Apr,n,M
656,2003.04.20.c,2003,Unprovoked,usa,30,Unidentified species,20-Apr-2003,Apr,n,M
657,2003.04.20.b,2003,Unprovoked,usa,23,0.9 m to 1.2 m [3' to 4'] shark,20-Apr-2003,Apr,n,M
658,2003.04.20.a,2003,Unprovoked,usa,18,Unidentified species,20-Apr-2003,Apr,n,M
659,2003.04.19,2003,Unprovoked,usa,11,A small shark,19-Apr-2003,Apr,n,M
660,2003.04.18,2003,Unprovoked,usa,12,Unidentified species,18-Apr-2003,Apr,n,M
661,2003.04.15,2003,Unprovoked,usa,20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",15-Apr-2003,Apr,n,M
662,2003.04.11,2003,Unprovoked,venezuela,28,"Mako shark, 3 m [10']",11-Apr-2003,Apr,n,M
663,2003.04.04,2003,Unprovoked,usa,50,4' to 5' shark,04-Apr-2003,Apr,n,M
664,2003.02.27,2003,Unprovoked,new zealand,44,2.5 m [8.25'] white shark,27-Feb-2003,Feb,n,M
665,2003.02.15.b,2003,Unprovoked,australia,37,"""a small shark""",15-Feb-2003,Feb,n,M
666,2003.02.15.a,2003,Unprovoked,usa,54,Species unidentified,15-Feb-2003,Feb,n,M
667,2003.02.11,2003,Unprovoked,australia,24,Thought to involve a 2 m [6.75'] grey nurse shark,11-Feb-2003,Feb,n,M
668,2003.02.08,2003,Unprovoked,australia,84,Thought to involve a >2 m [6.75'] bull shark,08-Feb-2003,Feb,y,M
669,2003.01.17,2003,Invalid,south africa,14,Shark involvement prior to death was not confirmed,17-Jan-2003,Jan,,M
670,2002.12.24,2002,Unprovoked,south africa,25,"White shark, 4 m white shark",24-Dec-2002,Dec,n,M
671,2002.12.16,2002,Unprovoked,australia,23,Bull shark,16-Dec-2002,Dec,y,M
672,2002.11.28.a,2002,Unprovoked,usa,48,3 m to 4.5 m [10' to 15'] white shark,28-Nov-2002,Nov,n,M
673,2002.11.17,2002,Unprovoked,usa,34,2.4 m to 3 m [8' to 10'] grey colored shark,17-Nov-2002,Nov,n,F
674,2002.11.14,2002,Unprovoked,turks & caicos,41,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,14-Nov-2002,Nov,n,F
675,2002.11.11,2002,Unprovoked,usa,21,6' shark,11-Nov-2002,Nov,n,M
676,2002.11.02,2002,Unprovoked,usa,16,3' to 4' shark,02-Nov-2002,Nov,n,M
677,2002.10.30,2002,Unprovoked,usa,60,A small shark,30-Oct-2002,Oct,n,F
678,2002.10.14,2002,Unprovoked,brazil,36,Possibly a bull shark or tiger shark,14-Oct-2002,Oct,y,M
679,2002.10.05.b,2002,Unprovoked,usa,14,Blacktip or spinner shark,05-Oct-2002,Oct,n,M
680,2002.10.05.a,2002,Unprovoked,usa,35,3.5' to 4.5' shark,05-Oct-2002,Oct,n,M
681,2002.10.03,2002,Unprovoked,usa,18,3.5' to 4' shark,03-Oct-2002,Oct,n,M
682,2002.09.30,2002,Unprovoked,usa,47,4' to 5' shark,30-Sep-2002,Sep,n,M
683,2002.09.27.c,2002,Unprovoked,usa,55,1.2 m [4'] blacktip shark,27-Sep-2002,Sep,n,M
684,2002.09.27.b,2002,Provoked,usa,  ,1.8 m [6'] blacktip shark,27-Sep-2002,Sep,n,M
685,2002.09.27.a,2002,Provoked,tonga, ,"Tiger shark, 1.5 m [5']k",27-Sep-2002,Sep,n,M
686,2002.09.21.b,2002,Unprovoked,usa,24,2.4 m [8'] shark,21-Sep-2002,Sep,n,M
687,2002.09.21.a,2002,Unprovoked,usa,35,3 m to 3.7 m [10' to 12'] shark,21-Sep-2002,Sep,n,M
688,2002.09.16.b,2002,Unprovoked,brazil,19,Bull or tiger shark,16-Sep-2002,Sep,n,M
689,2002.09.13,2002,Unprovoked,south africa,47,White shark,13-Sep-2002,Sep,n,M
690,2002.09.09,2002,Unprovoked,usa,20,4' to 6' shark,09-Sep-2002,Sep,n,M
691,2002.09.05,2002,Provoked,usa,36,1' to 2' hammerhead or bonnethed shark,05-Sep-2002,Sep,n,M
692,2002.08.28,2002,Unprovoked,usa,16,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",28-Aug-2002,Aug,n,M
693,2002.08.14,2002,Unprovoked,usa,27,0.9 m  to 1.2 m [3' to 4'] shark,14-Aug-2002,Aug,n,M
694,2002.08.11,2002,Unprovoked,usa,15,"Nurse shark, 1.5 m [5'] ",11-Aug-2002,Aug,n,M
695,2002.08.05,2002,Unprovoked,usa,14,1.2 m to 1.5 m [4' to 5'] shark,05-Aug-2002,Aug,n,M
696,2002.07.26,2002,Unprovoked,usa,13,1.2 m [4'] blacktip or sandbar shark,26-Jul-2002,Jul,n,M
697,2002.07.20,2002,Unprovoked,usa,15,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",20-Jul-2002,Jul,n,F
698,2002.07.09.b,2002,Provoked,usa,41,"Mako shark, 400-lb ",09-Jul-2002,Jul,y,M
699,2002.07.09.a,2002,Unprovoked,brazil,22,Bull or tiger shark,10-Jul-2002,Jul,n,M
700,2002.07.04,2002,Unprovoked,usa,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",04-Jul-2002,Jul,n,F
701,2002.06.11.a,2002,Unprovoked,usa,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,10-Jun-2002,Jun,n,M
702,2002.06.09.b,2002,Unprovoked,usa,50,  ,09-Jun-2002,Jun,n,M
703,2002.06.03,2002,Unprovoked,south africa,50,1.5 to 2.5 m [5' to 8.25'] copper shark,03-Jun-2002,Jun,n,M
704,2002.05.31.b,2002,Unprovoked,usa,24,3.7 m to 4.3 m [12' to 14'] white shark,31-May-2002,May,n,M
705,2002.05.31.a,2002,Unprovoked,usa,16,1 m  shark,31-May-2002,May,n,M
706,2002.05.22.b,2002,Provoked,usa,55,3' blacktip shark,22-May-2002,May,n,M
707,2002.04.30,2002,Unprovoked,australia,23,"White shark, 6m [20']",30-Apr-2002,Apr,y,M
708,2002.04.20,2002,Unprovoked,usa,34,1.2 m [4'] shark,20-Apr-2002,Apr,n,M
709,2002.04.09,2002,Unprovoked,bahamas,43,"Bull shark, 400-lb ",09-Apr-2002,Apr,n,M
710,2002.04.02,2002,Unprovoked,usa,41,3'  shark,02-Apr-2002,Apr,n,M
711,2002.04.01,2002,Unprovoked,usa,29,0.9 m [3'] shark,01-Apr-2002,Apr,n,M
712,2002.03.25.b,2002,Unprovoked,usa,17,Tiger shark,25-Mar-2002,Mar,n,M
713,2002.03.25.a,2002,Unprovoked,usa,11,  ,25-Mar-2002,Mar,n,F
714,2002.03.19,2002,Unprovoked,usa,20,4' shark,19-Mar-2002,Mar,n,M
715,2002.03.15.b,2002,Unprovoked,usa,39,"Nurse shark, 1m ",15-Mar-2002,Mar,n,M
716,2002.03.15.a,2002,Unprovoked,usa,31,"Spinner shark, 3' to 4' ",15-Mar-2002,Mar,n,M
717,2002.02.16,2002,Unprovoked,australia,30 or 36,"1.5 m [5'] ""whaler shark""",16-Feb-2002,Feb,n,M
718,2002.02.07,2002,Boating,australia,35,C. leucas tooth fragment recovered from kayak,07-Feb-2002,Feb,n,M
719,2002.01.30.b,2002,Unprovoked,australia,20,"Tiger shark, 3 m [10']",30-Jan-2002,Jan,n,M
720,2002.01.04,2002,Unprovoked,south africa,16,Zambesi shark?,04-Jan-2002,Jan,n,M
721,2002.01.01.b,2002,Unprovoked,south africa,26,Unidentified,01-Jan-2002,Jan,n,M
722,2002.01.01.a,2002,Unprovoked,usa,35,"Tiger shark, 1.8 m [6'] ",01-Jan-2002,Jan,n,M
723,2001.10.02,2001,Unprovoked,australia,20,Bronze whaler shark?,02-Oct-2001,Oct,n,F
724,2001.09.30.b,2001,Unprovoked,mexico,26,"Tiger shark, 1.8 m [6']",30-Sep-2001,Sep,n,M
725,2001.09.24,2001,Provoked,usa,21,4' shark,24-Sep-2001,Sep,n,M
726,2001.09.16,2001,Invalid,usa,42,Questionable incident - shark bite may have precipitated drowning,16-Sep-2001,Sep,y,M
727,2001.09.15.b,2001,Unprovoked,usa,6½,2' to 3.5' shark,15-Sep-2001,Sep,n,M
728,2001.09.03.b,2001,Unprovoked,usa,28,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,03-Sep-2001,Sep,y,M
729,2001.09.03.a,2001,Unprovoked,usa,23,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,03-Sep-2001,Sep,n,F
730,2001.09.02,2001,Unprovoked,usa,20,1.5 m [5'] shark,02-Sep-2001,Sep,n,M
731,2001.09.01,2001,Unprovoked,usa,10,bull shark,01-Sep-2001,Sep,y,M
732,2001.08.31,2001,Unprovoked,bahamas,44,3 m [10'] bull shark,31-Aug-2001,Aug,n,M
733,2001.08.22,2001,Unprovoked,usa,17,a small shark,22-Aug-2001,Aug,n,M
734,2001.08.18.c,2001,Unprovoked,usa,20,Possibly  a blacktip or spinner shark,18-Aug-2001,Aug,n,M
735,2001.08.18.b,2001,Unprovoked,usa,19,"3' shark, possibly  a blacktip or spinner shark",18-Aug-2001,Aug,n,M
736,2001.08.18.a,2001,Unprovoked,usa,19,"Blacktip shark, 5' to 6' ",18-Aug-2001,Aug,n,M
737,2001.08.16,2001,Unprovoked,bahamas,43,1.9 m [6.5'] bull shark,16-Aug-2001,Aug,n,M
738,2001.07.15.a,2001,Unprovoked,usa,18,0.9 m  [3'] shark,15-Jul-2001,Jul,n,M
739,2001.07.06.a,2001,Unprovoked,usa,8,"Bull shark, 2.3 m [7.5'] ",06-Jul-2001,Jul,n,M
740,2001.06.10,2001,Provoked,usa,52,"White shark, 2.4 m to 3 m [8' to 10'] ",10-Jun-2001,Jun,n,M
741,2001.06.03,2001,Unprovoked,usa,29,2' shark,03-Jun-2001,Jun,n,F
742,2001.05.03,2001,Unprovoked,usa,45,1.2 m to 1.5 m [4' to 5'] shark,03-May-2001,May,n,M
743,2001.04.13.a,2001,Unprovoked,usa,12,Possibly a juvenile blacktip or spinner shark,13-Apr-2001,Apr,n,M
744,2001.04.12.c,2001,Unprovoked,usa,21,Possibly a juvenile blacktip or spinner shark,12-Apr-2001,Apr,n,M
745,2001.04.12.b,2001,Unprovoked,usa,12,Possibly a juvenile blacktip or spinner shark,12-Apr-2001,Apr,n,M
746,2001.04.12.a,2001,Unprovoked,usa,22,Possibly a 1.5 m [5'] blacktip or spinner shark,12-Apr-2001,Apr,n,M
747,2001.04.11.d,2001,Unprovoked,usa,19,Possibly a juvenile blacktip or spinner shark,11-Apr-2001,Apr,n,M
748,2001.04.08.b,2001,Unprovoked,south africa,46,"White shark, 2.7 m [9'] ",08-Apr-2001,Apr,n,M
749,2001.04.05,2001,Unprovoked,usa,26,"""small shark""",05-Apr-2001,Apr,n,M
750,2001.04.02.a,2001,Unprovoked,australia,40,Bronze whaler shark,02-Apr-2001,Apr,n,M
751,2001.02.04,2001,Unprovoked,australia,40,"Bronze whaler shark, 2.5 m [8.25']  k",04-Feb-2001,Feb,n,M
752,2000.12.12,2000,Unprovoked,fiji,47,6 m [20'] shark,12-Dec-2000,Dec,y,M
753,2000.12.03,2000,Unprovoked,australia,38,"Bronze whaler shark, 2.5 m [8.25'] ",03-Dec-2000,Dec,n,M
754,2000.11.18,2000,Unprovoked,usa,73,1.2 m to 1.8 m [4' to 6'] shark,17-Nov-2000,Nov,n,M
755,2000.11.06.b,2000,Unprovoked,australia,52,"White shark, 4.9 m [16'] ",06-Nov-2000,Nov,n,M
756,2000.11.06.a,2000,Unprovoked,australia,49,"White shark, 5 m [16.5'] ",06-Nov-2000,Nov,y,M
757,2000.11.04,2000,Unprovoked,usa,27,"White shark, 2.4 m to 3 m [8' to 10'] ",04-Nov-2000,Nov,n,M
758,2000.10.18,2000,Unprovoked,usa,56,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",18-Oct-2000,Oct,n,F
759,2000.10.09,2000,Unprovoked,usa,17,2.1 to 2.4 m [7' to 8'] shark,09-Oct-2000,Oct,n,M
760,2000.10.06.b,2000,Unprovoked,usa,23,"Blacktip shark, 2' ",06-Oct-2000,Oct,n,M
761,2000.09.25,2000,Unprovoked,australia,17,White shark,25-Sep-2000,Sep,y,M
762,2000.09.24,2000,Unprovoked,australia,25,"White shark, 4 m to 5 m [13' to 16.5'] ",24-Sep-2000,Sep,y,M
763,2000.09.16.b,2000,Unprovoked,okinawa,31,"White shark, 2.5 m ",16-Sep-2000,Sep,y,M
764,2000.09.11,2000,Unprovoked,usa,25,60 cm to 90 cm [2' to 3'] shark,11-Sep-2000,Sep,n,M
765,2000.09.10.a,2000,Unprovoked,south africa,48,"White shark, 3.5 m [11.5']  male ",10-Sep-2000,Sep,n,M
766,2000.09.08.b,2000,Unprovoked,usa,40,1.5 m [5'] shark,08-Sep-2000,Sep,n,M
767,2000.09.08.a,2000,Unprovoked,reunion,27,"Tiger shark, 3 m [10'] ",08-Sep-2000,Sep,n,M
768,2000.08.31,2000,Unprovoked,usa,47,A 2' shark was seen in the area by witnesses,31-Aug-2000,Aug,n,M
769,2000.08.30,2000,Unprovoked,usa,69,"Thought to involve a 2.7 m [9'], 400-lb bull shark",30-Aug-2000,Aug,y,M
770,2000.08.15,2000,Unprovoked,usa,53,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",15-Aug-2000,Aug,n,M
771,2000.08.13,2000,Unprovoked,usa,27,juvenile shark,13-Aug-2000,Aug,n,M
772,2000.08.12,2000,Unprovoked,usa,44,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",12-Aug-2000,Aug,n,F
773,2000.07.06,2000,Unprovoked,usa,12,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",06-Jul-2000,Jul,n,F
774,2000.07.04.a,2000,Unprovoked,usa,55,"Nurse shark, 1.2 m [4'] ",04-Jul-2000,Jul,n,F
775,2000.07.02.b,2000,Unprovoked,usa,13,0.9 m [3'] shark,02-Jul-2000,Jul,n,F
776,2000.07.02.a,2000,Unprovoked,usa,19,"0.9 m [3'] shark,  probably a blacktip or spinner shark",02-Jul-2000,Jul,n,F
777,2000.06.10,2000,Unprovoked,usa,17,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",10-Jun-2000,Jun,n,M
778,2000.06.09.b,2000,Unprovoked,usa,55,Bull shark?,09-Jun-2000,Jun,n,M
779,2000.06.09.a,2000,Unprovoked,usa,44,Bull shark,09-Jun-2000,Jun,n,M
780,2000.03.30,2000,Unprovoked,australia,26,2.5 m shark,30-Mar-2000,Mar,n,M
781,2000.03.26,2000,Unprovoked,usa,14,1.8 m [6'] shark,26-Mar-2000,Mar,n,F
782,2000.03.24,2000,Unprovoked,usa,37,1.2 m [4'] shark,24-Mar-2000,Mar,n,M
783,2000.03.15,2000,Unprovoked,new caledonia,35,Tiger shark?,15-Mar-2000,Mar,y,M
784,2000.03.00,2000,Unprovoked,usa,39,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",Mar-2000,Mar,n,M
