,case_number,year,type,country,age,species_,date,mes,fatal,sexo
104,2015.09.05,2015,Provoked,usa,29,Hammerhead shark.,05-Sep-2015,Sep,n,M
105,2015.09.04,2015,Unprovoked,australia,62,"White shark, 2.5 m",04-Sep-2015,Sep,n,M
106,2015.09.01,2015,Unprovoked,thailand,37,small shark,01-Sep-2015,Sep,n,F
107,2015.08.29.b,2015,Unprovoked,usa,54,"White shark, 11' to 12'",29-Aug-2015,Aug,n,F
108,2015.08.29.a,2015,Unprovoked,usa,21,"White shark, 10' to 12' ",29-Aug-2015,Aug,n,M
109,2015.08.20,2015,Unprovoked,usa,15,4' shark,20-Aug-2015,Aug,n,M
110,2015.08.19,2015,Unprovoked,usa,10,3' shark,19-Aug-2015,Aug,n,F
111,2015.08.18.b,2015,Boating,usa,22,"White shark, 13'",18-Aug-2015,Aug,n,M
112,2015.08.18.a,2015,Invalid,spain,10,Shark involvement not confirmed,18-Aug-2015,Aug,,M
113,2015.08.10,2015,Provoked,usa,57,Hammerhead shark. 6' to 7',10-Aug-2015,Aug,n,M
114,2015.07.31,2015,Unprovoked,australia,52,White shark,31-Jul-2015,Jul,n,M
115,2015.07.26.b,2015,Unprovoked,usa,25,"Blacktip or spinner shark, 4'",26-Jul-2015,Jul,n,M
116,2015.07.26.a,2015,Invalid,usa,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",26-Jul-2015,Jul,,F
117,2015.07.25,2015,Unprovoked,australia,46,"White shark, 3.9 to 4.2 m",25-Jul-2015,Jul,y,M
118,2015.07-10,2015,Unprovoked,usa,38,"White shark, 7'",10-Jul-2015,Jul,n,M
119,2015.07.03,2015,Unprovoked,australia,52,White shark,03-Jul-2015,Jul,n,M
120,2015.07.02,2015,Unprovoked,australia,32,White shark,02-Jul-2015,Jul,n,M
121,2015.07.01,2015,Unprovoked,usa,68,6' to 7' shark,01-Jul-2015,Jul,n,M
122,2015.06.30.a,2015,Unprovoked,usa,12,4' to 5' shark,30-Jun-2015,Jun,n,M
123,2015.06.27.b,2015,Unprovoked,usa,18,Bull shark,27-Jun-2015,Jun,n,M
124,2015.06.27.a,2015,Unprovoked,south africa,19,White shark,27-Jun-2015,Jun,n,M
125,2015.06.26.b,2015,Unprovoked,south africa,23,"White shark, 2m to 3 m",26-Jun-2015,Jun,n,M
126,2015.06.26.a,2015,Unprovoked,usa,43,4' shark,26-Jun-2015,Jun,n,M
127,2015.06.24.b,2015,Unprovoked,usa,6,Sandtiger shark,24-Jun-2015,Jun,n,M
128,2015.06.24.a,2015,Invalid,australia,37,White shark,24-Jun-2015,Jun,n,F
129,2015.06.14.b,2015,Unprovoked,usa,16,Bull shark,14-Jun-2015,Jun,n,M
130,2015.06.14.a,2015,Unprovoked,usa,12,Bull shark,14-Jun-2015,Jun,n,F
131,2015.06.11,2015,Unprovoked,usa,13,4' shark,11-Jun-2015,Jun,n,F
132,2015.06.07,2015,Unprovoked,usa,11,"Bull shark, 5'",07-Jun-2015,Jun,n,M
133,2015.06.01,2015,Unprovoked,reunion,47,"Bull shark, 2.5 m",01-Jun-2015,Jun,n,M
134,2015.05.25,2015,Unprovoked,french polynesia,19,1m to 1.2 m shark,25-May-2015,May,n,M
135,2015.05.20,2015,Unprovoked,usa,18,5' shark,20-May2015,May2015,n,M
136,2015.05.02,2015,Unprovoked,south africa,29,"White shark, 3.5 m",02-May-2015,May,n,M
137,2015.04.26,2015,Unprovoked,usa,63,3- to 4-foot shark,26-Apr-2015,Apr,n,M
138,2015.04.25,2015,Unprovoked,australia,26,"White shark, 6 m",25-Apr-2015,Apr,n,M
139,2015.04.24.c,2015,Unprovoked,australia,71,"White shark, 3 m",24-Jun-2015,Jun,n,M
140,2015.04.12,2015,Unprovoked,reunion,13,Bull shark,12-Apr-2015,Apr,y,M
141,2015.04.03,2015,Unprovoked,usa,70,Bull shark,03-Apr-2015,Apr,n,M
142,2015.03.31,2015,Invalid,brazil,23,No shark involvement,31-Mar-2015,Mar,,M
143,2015.03.18,2015,Unprovoked,usa,58,"Tiger shark, 8 to 12 feet",18-Mar-2015,Mar,n,M
144,2015.03.16,2015,Unprovoked,french polynesia,9,Blacktip shark,16-Mar-2015,Mar,n,M
145,2015.02.14,2015,Unprovoked,reunion,22,"Tiger shark, 3.5 m",14-Feb-2015,Feb,y,F
146,2015.02.09,2015,Unprovoked,australia,41,3.5 to 4 m shark,09-Feb-2015,Feb,y,M
147,2015.02.08,2015,Unprovoked,australia,35,2 m to  3 m shark,08-Feb-2015,Feb,n,M
148,2015.01.30,2015,Boating,australia,57,"Bull shark, 1.3 m",30-Jan-2015,Jan,n,M
149,2015.01.27,2015,Provoked,usa,20,4' shark,27-Jan-2015,Jan,n,M
150,2015.01.06,2015,Unprovoked,bahamas,34,White shark or oceanic whitetip shark,06-Jan-2015,Jan,n,F
151,2015.01.03,2015,Unprovoked,south africa,15,"Raggedtooth shark, 1.3 m",03-Jan-2015,Jan,n,M
152,2014.12.29.a,2014,Unprovoked,australia,17,"White shark, 4 to 5 m",29-Dec-2014,Dec,y,M
153,2014.12.28.b,2014,Unprovoked,usa,50,"White shark, 8' to 10'",28-Dec-2014,Dec,n,M
